COMMON,STRAT_ID,PSU_ID,AREA_X,ID_CODE,MODE_FX,ST,SUB_REG,WAVE,YEAR,MONTH,KOD,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,TOT_LEN_A,WGT_A,TOT_LEN_B1,WGT_B1,TOT_CAT,WGT_AB1,TOT_LEN,LANDING,VAR_ID,ARX_METHOD,ALT_FLAG,FL_REG,WP_CATCH_PRECAL,WP_INT,WP_CATCH,DATE_PUBLISHED
,19853498106wd,10716198506209234,5,1071619850620002,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
,19853498106we,1071119850623176,5,1071119850623015,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
,19853498205we,10716198505119227,5,1071619850511003,3,9,4,3,1985,05,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205we,,0,8,2190.2445969,2319.9909169,2319.9909169,03/03/2025
,19853498206wd,106391985062011661,5,1063919850620003,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498206wd,106391985062111646,5,1063919850621006,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498106we,1071119850623176,5,1071119850623013,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
,19853498106we,1071119850623176,5,1071119850623016,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
,19853498106we,1071119850623176,5,1071119850623012,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
,19853498206wd,106391985062111646,5,1063919850621005,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498106we,1071119850623176,5,1071119850623014,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
,19853498106we,1071119850623176,5,1071119850623019,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,2319.9909169,2319.9909169,03/03/2025
,19853498205we,10716198505119227,5,1071619850511002,3,9,4,3,1985,05,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205we,,0,8,2190.2445969,2319.9909169,2319.9909169,03/03/2025
,19853498205we,1071119850504127,5,1071119850504008,3,9,4,3,1985,05,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205we,,0,8,2190.2445969,2319.9909169,2319.9909169,03/03/2025
,19853498106wd,10716198506209231,5,1071619850620004,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
,19853498205we,10716198505119227,5,1071619850511001,3,9,4,3,1985,05,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205we,,0,8,2190.2445969,2319.9909169,2319.9909169,03/03/2025
,19853498206wd,106391985062111646,5,1063919850621002,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498205wd,10716198505079227,5,1071619850507002,3,9,4,3,1985,05,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498206wd,106391985062111646,5,1063919850621004,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498206wd,106391985062111646,5,1063919850621001,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498206wd,106391985062011666,5,1063919850620006,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,12284.20247,12284.20247,03/03/2025
,19853498206we,10716198506229248,5,1071619850622003,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206we,,0,8,2190.2445969,6169.0300037,6169.0300037,03/03/2025
,19853498205wd,10716198505079227,5,1071619850507004,3,9,4,3,1985,05,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498106wd,10716198506209234,5,1071619850620003,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
,19853498205we,1071119850504127,5,1071119850504007,3,9,4,3,1985,05,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205we,,0,8,2190.2445969,2319.9909169,2319.9909169,03/03/2025
,19853498106we,1071119850623176,5,1071119850623018,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
,19853498206wd,10716198506209229,5,1071619850620001,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,12284.20247,12284.20247,03/03/2025
,19853498106we,1071119850623176,5,1071119850623011,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,2319.9909169,2319.9909169,03/03/2025
,19853498205we,1071119850504127,5,1071119850504006,3,9,4,3,1985,05,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205we,,0,8,2190.2445969,3848.9057726,3848.9057726,03/03/2025
,19853498106we,1071119850623176,5,1071119850623010,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
,19853498206we,10716198506229248,5,1071619850622004,3,9,4,3,1985,06,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206we,,0,8,2190.2445969,6169.0300037,6169.0300037,03/03/2025
,19853498106wd,106391985062511718,5,1063919850625001,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
,19853498106wd,10716198506049251,5,1071619850604004,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
,19853498206wd,106391985062011661,5,1063919850620002,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
,19853498205we,1071119850504127,5,1071119850504005,3,9,4,3,1985,05,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498205we,,0,8,2190.2445969,3848.9057726,3848.9057726,03/03/2025
,19853498106wd,10716198506049251,5,1071619850604002,3,9,4,3,1985,06,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
AMERICAN EEL,19853498106we,10719198506019254,5,1071919850601001,3,9,4,3,1985,06,we,8741010101,0,3,0,0,0,3,0,0,0,0,3,0,0,0,19853498106we,,0,8,1844.8222613,6169.0300037,6169.0300037,03/03/2025
AMERICAN EEL,19853498206wd,106391985062111646,5,1063919850621011,3,9,4,3,1985,06,wd,8741010101,0,1.5333333333,0,0,0,1,0,0,0,0,1.5333333333,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
CUNNER,19853498206wd,106391985062111646,5,1063919850621013,3,9,4,3,1985,06,wd,8839010201,0,1.9166666667,0,0,0,2,0,0,0,0,1.9166666667,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
CUNNER,19853498206wd,106391985062111646,5,1063919850621014,3,9,4,3,1985,06,wd,8839010201,0,0.9583333333,0,0,0,1,0,0,0,0,0.9583333333,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
CUNNER,19853498206wd,106391985062111646,5,1063919850621012,3,9,4,3,1985,06,wd,8839010201,0,4.7916666667,0,0,0,5,0,0,0,0,4.7916666667,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
CUNNER,19853498206wd,106391985062111646,5,1063919850621003,3,9,4,3,1985,06,wd,8839010201,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
CUNNER,19853498206wd,106391985062111646,5,1063919850621008,3,9,4,3,1985,06,wd,8839010201,0,2,0,0,0,2,0,0,0,0,2,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
CUNNER,19853498206wd,106391985062011661,5,1063919850620001,3,9,4,3,1985,06,wd,8839010201,2,0,0,2,0,0,268,0.1,0,0,2,0.1,268,2,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
CUNNER,19853498106we,1071119850623176,5,1071119850623017,3,9,4,3,1985,06,we,8839010201,0,2,0,0,0,2,0,0,0,0,2,0,0,0,19853498106we,,0,8,1844.8222613,3848.9057726,3848.9057726,03/03/2025
OYSTER TOADFISH,19853498206wd,106391985062011661,5,1063919850620001,3,9,4,3,1985,06,wd,8783010201,1,0,0,1,0,0,199,0.1,0,0,1,0.1,199,1,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
SEAROBIN GENUS,19853498106wd,10716198506049251,5,1071619850604003,3,9,4,3,1985,06,wd,8826020100,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
SMOOTH DOGFISH,19853498106wd,10716198506049251,5,1071619850604001,3,9,4,3,1985,06,wd,8708020401,0,3,0,0,0,3,0,0,0,0,3,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
STRIPED BASS,19853498106wd,10716198506249251,5,1071619850624001,3,9,4,3,1985,06,wd,8835020102,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
STRIPED BASS,19853498206wd,106391985062111646,5,1063919850621009,3,9,4,3,1985,06,wd,8835020102,0,0.7666666667,0,0,0,1,0,0,0,0,0.7666666667,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
STRIPED BASS,19853498205wd,10716198505079227,5,1071619850507003,3,9,4,3,1985,05,wd,8835020102,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19853498205wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
SUMMER FLOUNDER,19853498205wd,10716198505079227,5,1071619850507001,3,9,4,3,1985,05,wd,8857030301,1,0,0,1,0,0,330,0.5,0,0,1,0.5,330,1,19853498205wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
TAUTOG,19853498206wd,106391985062111646,5,1063919850621010,3,9,4,3,1985,06,wd,8839010101,3.0666666667,0,0,2,0,0,1173,3.5266666667,0,0,3.0666666667,3.5266666667,1173,3.0666666667,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
TAUTOG,19853498206wd,106391985062111646,5,1063919850621009,3,9,4,3,1985,06,wd,8839010101,0.7666666667,0,1.5333333333,1,2,0,274.46666667,0.8433333333,548.93333333,1.6866666667,2.3,2.53,823.4,2.3,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
TAUTOG,19853498206wd,106391985062111646,5,1063919850621008,3,9,4,3,1985,06,wd,8839010101,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
TAUTOG,19853498206wd,106391985062111646,5,1063919850621007,3,9,4,3,1985,06,wd,8839010101,2,0,0,2,0,0,829,3.1,0,0,2,3.1,829,2,19853498206wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
WHITE PERCH,19853498106wd,10716198506139203,5,1071619850613001,3,9,4,3,1985,06,wd,8835020101,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19853498106wd,,0,8,1844.8222613,12284.20247,12284.20247,03/03/2025
WINDOWPANE,19853498205wd,10716198505079227,5,1071619850507001,3,9,4,3,1985,05,wd,8857030401,1,0,0,1,0,0,290,0.3,0,0,1,0.3,290,1,19853498205wd,,0,8,2190.2445969,4619.7275964,4619.7275964,03/03/2025
WINTER FLOUNDER,19853498205we,1071119850504127,5,1071119850504010,3,9,4,3,1985,05,we,8857042001,2,2,0,2,0,2,550,0.7,0,0,4,0.7,550,2,19853498205we,,0,8,2190.2445969,2319.9909169,2319.9909169,03/03/2025
WINTER FLOUNDER,19853498205we,1071119850504127,5,1071119850504004,3,9,4,3,1985,05,we,8857042001,2,0,0,2,0,0,490,0.6,0,0,2,0.6,490,2,19853498205we,,0,8,2190.2445969,3848.9057726,3848.9057726,03/03/2025
WINTER FLOUNDER,19853498205we,1071119850504127,5,1071119850504003,3,9,4,3,1985,05,we,8857042001,1,1,0,1,0,1,290,0.4,0,0,2,0.4,290,1,19853498205we,,0,8,2190.2445969,2319.9909169,2319.9909169,03/03/2025
