PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,STRIPED BASS,19883498305wd,111411988051811750,0,C,5,,2,1,11,11,Y,5,45,,1.5,1114119880518001,750,5,3,1,0,0,,,,4,9,9,4,1,3,1988,1114119880518,05,wd,,,1114119880518001,1,,,8,9,,,07MAR92:23:45,8,8,1,,,,8835020102,,1,88,8,1400,61,4879.6574507,19883498305wd,,0,1114119880518001,06360,03/03/2025
,STRIPED BASS,19883498305wd,111411988051811750,,C,5,,2,1,11,11,Y,5,60,,1.5,1114119880518002,750,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880518,05,wd,,,1114119880518002,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8835020102,,1,88,8,1400,67,4879.6574507,19883498305wd,,0,1114119880518002,06360,03/03/2025
,WINTER FLOUNDER,19883498305wd,11141198805269297,,C,5,,2,1,9,9,Y,0,10,,1.5,1114119880526001,297,2,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880526,05,wd,,,1114119880526001,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,1140,31,1835.095786,19883498305wd,,0,1114119880526001,06460,03/03/2025
,WINTER FLOUNDER,19883498305wd,11141198805269297,,C,5,,2,1,9,9,Y,0,10,,1.5,1114119880526002,297,2,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880526,05,wd,,,1114119880526002,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,1140,6,1835.095786,19883498305wd,,0,1114119880526002,06460,03/03/2025
,ATLANTIC MENHADEN,19883498305wd,11141198805269297,,C,5,,2,1,9,9,Y,2,30,,1,1114119880526003,297,2,3,0,0,0,,,,,9,9,4,1,3,1988,1114119880526,05,wd,,,1114119880526003,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8747010401,,1,88,8,1150,43,1835.095786,19883498305wd,,0,1114119880526003,06460,03/03/2025
,WINTER FLOUNDER,19883498305wd,11141198805269297,0,C,5,,2,1,9,9,Y,2,25,,2.5,1114119880526004,297,2,3,1,0,0,,,,4,9,9,4,1,3,1988,1114119880526,05,wd,,,1114119880526004,1,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,1205,60,1835.095786,19883498305wd,,0,1114119880526004,06516,03/03/2025
,WINTER FLOUNDER,19883498305wd,11141198805269297,,C,5,,2,1,9,9,Y,1,20,,2.5,1114119880526005,297,2,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880526,05,wd,,,1114119880526005,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,1205,57,1835.095786,19883498305wd,,0,1114119880526005,06516,03/03/2025
ATLANTIC MENHADEN,WINTER FLOUNDER,19883498305wd,11141198805269297,0,C,5,,1,1,9,9,Y,2,40,,2,1114119880526096,297,2,3,0,3,0,,,,4,9,9,4,1,3,1988,1114119880526,05,wd,,,1114119880526096,1,3,0,8,9,,,07MAR92:23:45,8,1,1,,,,8857042001,8747010401,1,88,8,1300,27,1835.095786,19883498305wd,,0,1114119880526096,06516,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,,C,5,,2,1,11,9,Y,1,15,,2,1114119880528001,646,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528001,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,910,60,921.57069141,19883498305we,,0,1114119880528001,06488,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,,C,5,,2,1,11,9,Y,0,10,,2,1114119880528002,646,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528002,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,915,54,921.57069141,19883498305we,,0,1114119880528002,06488,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,,C,5,,2,1,11,11,Y,20,80,,3,1114119880528003,646,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528003,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,915,29,921.57069141,19883498305we,,0,1114119880528003,06370,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,,C,5,,2,1,11,11,Y,4,10,,3,1114119880528004,646,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528004,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,920,8,921.57069141,19883498305we,,0,1114119880528004,06370,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,,C,5,,2,1,11,11,Y,4,10,,3,1114119880528005,646,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528005,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,720,10,921.57069141,19883498305we,,0,1114119880528005,06370,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,,C,5,,2,1,11,11,Y,0,9,,2,1114119880528007,646,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528007,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,1000,49,921.57069141,19883498305we,,0,1114119880528007,06320,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,0,C,5,,1,1,11,11,Y,5,25,,2.5,1114119880528008,646,5,3,0,1,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528008,1,1,0,8,9,,,07MAR92:23:45,8,1,1,,,,8857042001,,1,88,8,1010,48,921.57069141,19883498305we,,0,1114119880528008,06385,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,0,C,5,,1,1,11,7,Y,10,30,,2.5,1114119880528009,646,5,3,0,2,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528009,1,1,0,8,9,,,07MAR92:23:45,8,1,1,,,,8857042001,,1,88,8,1025,51,921.57069141,19883498305we,,0,1114119880528009,06412,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,0,C,5,,2,1,11,11,Y,0,15,,2,1114119880528010,646,5,3,1,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528010,1,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,1040,67,921.57069141,19883498305we,,0,1114119880528010,06360,03/03/2025
,WINTER FLOUNDER,19883498305we,111411988052811646,,C,5,,2,1,11,11,Y,0,15,,2,1114119880528011,646,5,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880528,05,we,,,1114119880528011,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8857042001,,1,88,8,1040,60,921.57069141,19883498305we,,0,1114119880528011,06360,03/03/2025
,BLUEFISH,19883498306wd,1114119880602164,,C,5,,2,1,1,1,Y,4,40,,2,1114119880602001,64,1,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880602,06,wd,,,1114119880602001,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8835250101,,1,88,8,1200,53,1835.095786,19883498306wd,,0,1114119880602001,06851,03/03/2025
,BLUEFISH,19883498306wd,1114119880602164,,C,5,,2,1,1,1,Y,4,40,,2,1114119880602002,64,1,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880602,06,wd,,,1114119880602002,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8835250101,,1,88,8,1210,54,1835.095786,19883498306wd,,0,1114119880602002,06875,03/03/2025
,BLUEFISH,19883498306wd,1114119880602164,,C,5,,2,1,1,1,Y,0,10,,2,1114119880602003,64,1,3,0,0,0,,,,4,9,9,4,1,3,1988,1114119880602,06,wd,,,1114119880602003,,,,8,9,,,07MAR92:23:45,8,8,1,,,,8835250101,,1,88,8,1215,49,1835.095786,19883498306wd,,0,1114119880602003,06851,03/03/2025
