PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,TOURN,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,WHITE PERCH,19896498311wd,111431989110711607,1,C,5,,1,1,11,7,Y,12,40,,2,1114319891107001,607,4,3,1,10,0,,,,4,9,9,4,1,6,1989,1114319891107,11,wd,,,1114319891107001,3,17,0,8,1,,,12JUN91:21:39,8,1,1,,,,8835020101,,1,88,8,1455,8,45,34687.598077,19896498311wd,,0,1114319891107001,06457,03/03/2025
,WHITE PERCH,19896498311wd,111431989110711607,1,C,5,,1,1,11,7,Y,12,40,,2,1114319891107002,607,4,3,0,10,0,,,,4,9,9,4,1,6,1989,1114319891107,11,wd,,,1114319891107002,3,11,0,8,1,,,12JUN91:21:39,8,1,1,,,,8835020101,,1,88,8,1457,8,43,34687.598077,19896498311wd,,0,1114319891107002,06457,03/03/2025
,WHITE PERCH,19896498311wd,111431989110711607,1,C,5,,1,1,11,7,Y,12,40,,2,1114319891107003,607,4,3,0,10,0,,,,4,9,9,4,1,6,1989,1114319891107,11,wd,,,1114319891107003,3,11,0,8,1,,,12JUN91:21:39,8,1,1,,,,8835020101,,1,88,8,1459,8,38,34687.598077,19896498311wd,,0,1114319891107003,06457,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,2,1,1,1,Y,3,9,,4,1114119891105001,148,6,6,0,0,0,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105001,,,,8,9,,,12JUN91:21:39,8,8,1,,,,8839010101,,1,88,8,1520,8,33,79.961692725,19896498611we,,0,1114119891105001,06610,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,1,1,1,1,Y,10,30,,4,1114119891105002,148,6,6,0,1,0,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105002,1,4,0,8,9,,,12JUN91:21:39,8,1,1,,,,8839010101,,1,88,8,1525,8,37,79.961692725,19896498611we,,0,1114119891105002,06610,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,1,1,1,1,Y,2,12,,4,1114119891105003,148,6,6,0,1,0,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105003,1,1,0,8,1,,,12JUN91:21:39,8,1,1,,,,8839010101,,1,88,8,1530,8,26,79.961692725,19896498611we,,0,1114119891105003,06616,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,1,4,1,1,Y,0,1,,4,1114119891105004,148,6,6,0,1,0,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105004,1,8,0,8,9,,,12JUN91:21:39,8,2,1,,,,8839010101,,1,88,2,1535,8,26,79.961692725,19896498611we,,0,1114119891105004,06497,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,3,0,1,1,Y,0,0,,4,1114119891105005,148,6,6,1,0,1,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105005,1,0,2,8,9,,,12JUN91:21:39,8,8,1,,,,8839010101,,1,88,8,1537,8,26,79.961692725,19896498611we,,0,1114119891105004,06483,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,3,0,1,1,Y,0,4,,4,1114119891105006,148,6,6,0,0,1,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105006,,,,8,9,,,12JUN91:21:39,8,8,1,,,,8839010101,,1,88,8,1540,8,26,79.961692725,19896498611we,,0,1114119891105004,06611,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,3,0,1,7,Y,0,1,,4,1114119891105007,148,6,6,0,0,1,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105007,,,,8,9,,,12JUN91:21:39,8,8,1,,,,8839010101,,1,88,8,1543,8,38,79.961692725,19896498611we,,0,1114119891105004,06405,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,1,4,1,81,O,0,1,,4,1114119891105008,148,6,6,0,1,0,,,,5,9,36,4,1,6,1989,1114119891105,11,we,,,1114119891105008,1,9,0,8,9,,,12JUN91:21:39,8,2,1,,,,8839010101,,1,88,2,1545,8,67,121.08142647,19896498611we,,0,1114119891105008,09998,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,3,0,1,81,O,0,0,,4,1114119891105009,148,6,6,0,0,1,,,,5,9,36,4,1,6,1989,1114119891105,11,we,,,1114119891105009,,,,8,9,,,12JUN91:21:39,8,8,1,,,,8839010101,,1,88,8,1547,8,81,121.08142647,19896498611we,,0,1114119891105008,09998,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,3,0,1,81,O,0,0,,4,1114119891105010,148,6,6,0,0,1,,,,5,9,36,4,1,6,1989,1114119891105,11,we,,,1114119891105010,,,,8,9,,,12JUN91:21:39,8,8,1,,,,8839010101,,1,88,8,1550,8,74,121.08142647,19896498611we,,0,1114119891105008,09998,03/03/2025
,TAUTOG,19896498611we,11141198911051148,0,C,5,,3,0,1,1,Y,3,5,,4,1114119891105011,148,6,6,0,0,1,,,,4,9,9,4,1,6,1989,1114119891105,11,we,,,1114119891105011,,,,8,9,,,12JUN91:21:39,8,8,1,,,,8839010101,,1,88,8,1553,8,64,79.961692725,19896498611we,,0,1114119891105008,06910,03/03/2025
