PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,TOURN,TURTLE,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,7,Y,0,12,,1.5,1115019900311001,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311001,,,,8,9,,Middlesex,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1158,8,8,46,4603.3765093,19902498303we,,0,1115019900311001,06457,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,3,25,,4,1115019900311002,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311002,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1206,8,8,44,4603.3765093,19902498303we,,0,1115019900311002,06447,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,13,Y,3,25,,4,1115019900311003,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311003,,,,8,9,,Tolland,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1209,8,8,40,4603.3765093,19902498303we,,0,1115019900311003,06040,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,13,Y,0,0,,4,1115019900311004,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311004,,,,8,9,,Tolland,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1209,8,8,35,4603.3765093,19902498303we,,0,1115019900311004,06040,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,6,100,,2,1115019900311005,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311005,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1251,8,8,31,4603.3765093,19902498303we,,0,1115019900311005,06040,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,2,5,,2,1115019900311006,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311006,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1251,8,8,25,4603.3765093,19902498303we,,0,1115019900311006,06109,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,3,130,,3,1115019900311007,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311007,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1259,8,8,43,4603.3765093,19902498303we,,0,1115019900311007,06040,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,3,30,,3,1115019900311008,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311008,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1259,8,8,37,4603.3765093,19902498303we,,0,1115019900311008,06040,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,7,Y,1,3,,1,1115019900311009,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311009,,,,8,9,,Middlesex,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1305,8,8,43,4603.3765093,19902498303we,,0,1115019900311009,06426,03/03/2025
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,7,Y,1,30,,1,1115019900311010,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311010,,,,8,9,,Middlesex,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1305,8,8,10,4603.3765093,19902498303we,,0,1115019900311010,06426,03/03/2025
