PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,DATE,TURTLE,TOURN,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
BLUEFISH,STRIPED BASS,19916498311we,1115019911110185,0,C,5,,2,1,1,87,O,24,60,8,8.5,1115019911110001,85,5,3,1,0,0,0,,1,5,9,36,4,1,6,1991,1115019911110,11,we,,,1115019911110001,1,,,8,1,,Rockland,21AUG91:15:40,8,8,1,,,,8835020102,8835250101,1,88,8,845,911110,3,8,60,12487.95609,19916498311we,,0,1115019911110001,10956,03/03/2025
BLUEFISH,STRIPED BASS,19916498311we,1115019911110185,,C,5,,2,1,1,79,O,8,60,8,8.5,1115019911110002,85,5,3,0,0,0,0,,1,5,9,36,4,1,6,1991,1115019911110,11,we,,,1115019911110002,,,,8,1,,Putnam,21AUG91:15:40,8,8,1,,,,8835020102,8835250101,1,88,8,845,911110,3,8,60,12487.95609,19916498311we,,0,1115019911110002,10560,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,1115019911110182,,C,5,,2,1,1,1,Y,15,15,8,5.5,1115019911110003,82,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1115019911110,11,we,,,1115019911110003,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,1130,911110,3,8,33,7527.3198176,19916498311we,,0,1115019911110003,09999,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,1115019911110182,,C,5,,2,1,1,1,Y,10,25,8,4,1115019911110004,82,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1115019911110,11,we,,,1115019911110004,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,1130,911110,3,8,45,7527.3198176,19916498311we,,0,1115019911110004,06430,03/03/2025
,WINTER FLOUNDER,19916498311we,1115019911117189,0,C,5,,1,1,1,1,Y,24,145,1,2,1115019911117001,89,1,3,0,1,0,0,,2,4,9,9,4,1,6,1991,1115019911117,11,we,,,1115019911117001,1,1,0,8,1,,Fairfield,14OCT92:18:05,8,1,1,,,,8857042001,,1,88,8,1226,911117,3,8,48,2830.8038047,19916498311we,,0,1115019911117001,06484,03/03/2025
,WINTER FLOUNDER,19916498311we,1115019911117189,,C,5,,2,1,1,1,Y,24,145,2,2,1115019911117002,89,1,3,0,0,0,1,,2,4,9,9,4,1,6,1991,1115019911117,11,we,,,1115019911117002,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8857042001,,1,88,8,1228,911117,3,8,60,2830.8038047,19916498311we,,0,1115019911117002,06497,03/03/2025
STRIPED BASS,BLUEFISH,19916498311wd,111501991111911646,,C,5,,2,1,11,11,Y,10,30,8,2,1115019911119001,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1115019911119,11,wd,,,1115019911119001,,,,8,1,,New London,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,756,911119,3,8,58,5636.8938176,19916498311wd,,0,1115019911119001,06237,03/03/2025
,STRIPED BASS,19916498311wd,111501991111911646,,C,5,,2,1,11,11,Y,15,100,8,1,1115019911119002,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1115019911119,11,wd,,,1115019911119002,,,,8,1,,New London,14OCT92:18:05,8,8,1,,,,8835020102,,1,88,8,818,911119,3,8,45,5636.8938176,19916498311wd,,0,1115019911119002,06339,03/03/2025
STRIPED BASS,ATLANTIC HERRING,19916498311we,1115019911130192,,C,5,,2,1,1,9,Y,1,100,1,2,1115019911130001,92,5,3,0,0,0,0,,2,4,9,9,4,1,6,1991,1115019911130,11,we,,,1115019911130001,,,,8,1,,New Haven,14OCT92:18:05,8,8,1,,,,8747010201,8835020102,1,88,8,1426,911130,3,8,34,2830.8038047,19916498311we,,0,1115019911130001,06762,03/03/2025
STRIPED BASS,ATLANTIC HERRING,19916498311we,1115019911130192,,C,5,,2,1,1,1,Y,5,100,2,2,1115019911130002,92,5,3,0,0,0,1,,2,4,9,9,4,1,6,1991,1115019911130,11,we,,,1115019911130002,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8747010201,8835020102,1,88,8,1428,911130,3,8,52,2830.8038047,19916498311we,,0,1115019911130002,06430,03/03/2025
,STRIPED BASS,19916498311we,1115019911130185,0,C,5,,2,1,1,1,Y,10,50,8,2.5,1115019911130003,85,5,3,1,0,0,0,,1,4,9,9,4,1,6,1991,1115019911130,11,we,,,1115019911130003,1,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835020102,,1,88,8,1522,911130,3,8,43,7527.3198176,19916498311we,,0,1115019911130003,06430,03/03/2025
,STRIPED BASS,19916498311we,1115019911130185,,C,5,,2,1,1,1,Y,30,200,8,3,1115019911130004,85,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1115019911130,11,we,,,1115019911130004,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835020102,,1,88,8,1523,911130,3,8,52,7527.3198176,19916498311we,,0,1115019911130004,06611,03/03/2025
,WINTER FLOUNDER,19916498311we,1115019911130189,0,C,5,,1,1,1,1,Y,20,100,8,1,1115019911130005,89,5,3,1,1,0,0,,1,4,9,9,4,1,6,1991,1115019911130,11,we,,,1115019911130005,1,1,0,8,1,,Fairfield,14OCT92:18:05,8,1,1,,,,8857042001,,1,88,8,1553,911130,3,8,25,2830.8038047,19916498311we,,0,1115019911130005,09999,03/03/2025
,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,3,Y,15,150,1,1.5,1166019911103001,646,5,3,0,0,0,0,,2,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103001,,,,8,1,,Hartford,14OCT92:18:05,8,8,1,,,,8835250101,,1,88,8,749,911103,3,8,28,2830.8038047,19916498311we,,0,1166019911103001,06118,03/03/2025
,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,7,Y,15,100,2,1.5,1166019911103002,646,5,3,0,0,0,1,,2,4,9,9,4,2,6,1991,1166019911103,11,we,,,1166019911103002,,,,8,9,,Middlesex,14OCT92:18:05,8,8,1,,,,8835250101,,1,88,8,749,911103,3,8,28,2830.8038047,19916498311we,,0,1166019911103002,06424,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,11,Y,1,40,1,3,1166019911103003,646,5,3,0,0,0,0,,2,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103003,,,,8,1,,New London,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,806,911103,3,8,42,2830.8038047,19916498311we,,0,1166019911103003,06357,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,11,Y,60,300,2,3,1166019911103004,646,5,3,0,0,0,1,,2,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103004,,,,8,1,,New London,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,806,911103,3,8,41,2830.8038047,19916498311we,,0,1166019911103004,06357,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,11,Y,2,12,1,3,1166019911103005,646,5,3,0,0,0,0,,2,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103005,,,,8,1,,New London,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,809,911103,3,8,28,2830.8038047,19916498311we,,0,1166019911103005,06380,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,11,Y,8,40,2,3,1166019911103006,646,5,3,0,0,0,1,,2,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103006,,,,8,1,,New London,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,809,911103,3,8,28,2830.8038047,19916498311we,,0,1166019911103006,06380,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,15,Y,25,50,8,2,1166019911103008,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103008,,,,8,1,,Windham,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,839,911103,3,8,58,2830.8038047,19916498311we,,0,1166019911103008,06237,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,0,C,5,,1,1,11,15,Y,0,0,8,3,1166019911103009,646,5,3,1,1,0,0,,1,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103009,1,1,0,8,1,,Windham,14OCT92:18:05,8,1,1,,,,8835250101,8835020102,1,88,8,916,911103,3,8,23,2830.8038047,19916498311we,,0,1166019911103009,06256,03/03/2025
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,3,Y,10,30,8,5,1166019911103010,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103010,,,,8,1,,Hartford,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,925,911103,3,8,54,2830.8038047,19916498311we,,0,1166019911103010,06447,03/03/2025
