PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,,199616128301wd,103891996010412721,0,1,1,,1,1,127,127,Y,50,350,8,3,1038919960104001,21,1,3,0,2,0,0,,88,6,12,12,6,2,1,1996,1038919960104,01,wd,,,1038919960104001,1,2,0,8,9,,VOLUSIA,05APR96:15:32,1,1,1,,,,0,0,1,,8,920,21096.081988,199616128301wd,,0,1038919960104001,32118,03/03/2025
,,199616128301wd,103891996010412721,,1,1,,2,1,127,127,Y,50,350,8,3,1038919960104002,21,1,3,0,0,0,0,,88,6,12,12,6,2,1,1996,1038919960104,01,wd,,,1038919960104002,,,,8,9,,VOLUSIA,05APR96:15:32,1,8,1,,,,0,0,1,,8,925,21096.081988,199616128301wd,,0,1038919960104002,32118,03/03/2025
,RED DRUM,199616128301wd,103891996010412721,,1,1,,2,1,127,95,O,1,1,8,3.5,1038919960104003,21,1,3,0,0,0,0,,88,0,12,18,6,1,1,1996,1038919960104,01,wd,,,1038919960104003,,,,8,1,,,05APR96:15:32,1,8,1,,,,8835440901,0,1,,8,1005,18291.476614,199616128301wd,,0,1038919960104003,46012,03/03/2025
,GULF KINGFISH,199616128301wd,103891996010412721,,1,1,,2,1,127,998,O,6,6,8,3,1038919960104004,21,1,3,0,0,0,0,,88,0,12,99,6,1,1,1996,1038919960104,01,wd,,,1038919960104004,,,,8,1,,,05APR96:15:32,1,8,1,,,,8835440602,0,1,,8,1020,18291.476614,199616128301wd,,0,1038919960104004,99997,03/03/2025
,,199616128301wd,103891996010412721,0,1,1,,2,1,127,31,O,4,4,8,3,1038919960104005,21,1,3,1,0,0,0,,88,0,12,17,6,1,1,1996,1038919960104,01,wd,,,1038919960104005,1,,,8,1,,,05APR96:15:32,1,8,1,,,,0,0,1,,8,1055,18291.476614,199616128301wd,,0,1038919960104005,60025,03/03/2025
,GULF KINGFISH,199616128301wd,103891996010412721,0,1,1,,2,1,127,127,Y,6,52,8,3,1038919960104006,21,1,3,1,0,0,0,,88,6,12,12,6,1,1,1996,1038919960104,01,wd,,,1038919960104006,1,,,8,1,,VOLUSIA,05APR96:15:32,1,8,1,,,,8835440602,0,1,,8,1115,21096.081988,199616128301wd,,0,1038919960104006,32132,03/03/2025
,,199616128301wd,103891996010412721,,1,1,,2,1,127,31,Y,1,4,8,3,1038919960104007,21,1,3,0,0,0,0,,88,6,12,12,6,1,1,1996,1038919960104,01,wd,,,1038919960104007,,,,8,1,,DUVAL,05APR96:15:32,1,8,1,,,,0,0,1,,8,1125,21096.081988,199616128301wd,,0,1038919960104007,32209,03/03/2025
,,199616128301wd,103891996010412721,0,1,1,,2,1,127,15,O,1,1,8,3.5,1038919960104008,21,1,3,1,0,0,0,,88,4,12,33,6,1,1,1996,1038919960104,01,wd,,,1038919960104008,1,,,8,1,,ROCKINGHAM,05APR96:15:32,1,8,1,,,,0,0,1,,8,1150,18291.476614,199616128301wd,,0,1038919960104008,3053,03/03/2025
,,199616128301wd,103891996010412721,,1,1,,2,1,127,5,O,6,6,8,3,1038919960104009,21,1,3,0,0,0,0,,88,5,12,51,6,1,1,1996,1038919960104,01,wd,,,1038919960104009,,,,8,1,,,05APR96:15:32,1,8,1,,,,0,0,1,,8,1215,18291.476614,199616128301wd,,0,1038919960104009,24422,03/03/2025
,,199616128301wd,103891996010412721,,1,1,,2,1,127,127,Y,20,100,8,3,1038919960104010,21,1,3,0,0,0,0,,88,6,12,12,6,1,1,1996,1038919960104,01,wd,,,1038919960104010,,,,8,1,,VOLUSIA,05APR96:15:32,1,8,1,,,,0,0,1,,8,1230,21096.081988,199616128301wd,,0,1038919960104010,32118,03/03/2025
