PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,STRAT_INTERVAL,FSHINSP_A,NUM_FISH_A,ZIP,DATE_PUBLISHED
,,199716128301we,1038919970118127273,0,1,1,,2,1,127,117,Y,8,52,8,3,1038919970118006,273,5,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970118,01,we,,,1038919970118006,,8,,,SEMINOLE,02APR97:14:41,1,8,1,,,,0,0,1,,8,1150,16827.731321,199716128301we,,0,1038919970118006,,,,32707,03/03/2025
,,199716128302we,1038919970202127142,0,1,1,,2,1,127,127,Y,7,52,8,3,1038919970202001,142,1,3,1,0,0,0,8,88,6,12,12,6,2,1,1997,1038919970202,02,we,,,1038919970202001,2,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,955,16827.731321,199716128302we,,0,1038919970202001,,,,32114,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,127,Y,7,52,8,3,1038919970202002,142,1,3,0,0,0,0,8,88,6,12,12,6,2,1,1997,1038919970202,02,we,,,1038919970202002,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1000,16827.731321,199716128302we,,0,1038919970202002,,,,32114,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,127,Y,2,12,8,3.5,1038919970202003,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202003,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1020,16827.731321,199716128302we,,0,1038919970202003,,,,32119,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,127,Y,4,12,8,3.5,1038919970202004,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202004,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1050,16827.731321,199716128302we,,0,1038919970202004,,,,32168,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,127,Y,4,12,8,3,1038919970202005,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202005,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1055,16827.731321,199716128302we,,0,1038919970202005,,,,32168,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,127,Y,4,12,8,3.5,1038919970202006,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202006,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1100,16827.731321,199716128302we,,0,1038919970202006,,,,32164,03/03/2025
,,199716128302we,1038919970202127142,0,1,1,,2,1,127,127,Y,6,52,8,3,1038919970202007,142,1,3,2,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202007,2,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1215,16827.731321,199716128302we,,0,1038919970202007,,,,32114,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,117,Y,2,12,8,3,1038919970202008,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202008,,8,,,SEMINOLE,02APR97:14:41,1,8,1,,,,0,0,1,,8,1235,16827.731321,199716128302we,,0,1038919970202008,,,,32779,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,117,Y,2,12,8,3,1038919970202009,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202009,,8,,,SEMINOLE,02APR97:14:41,1,8,1,,,,0,0,1,,8,1240,16827.731321,199716128302we,,0,1038919970202009,,,,32779,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,117,Y,2,12,8,3,1038919970202010,142,1,3,0,0,0,0,8,88,6,12,12,6,,1,1997,1038919970202,02,we,,,1038919970202010,,8,,,SEMINOLE,02APR97:14:41,1,8,1,,,,0,0,1,,8,1245,16827.731321,199716128302we,,0,1038919970202010,,,,32779,03/03/2025
,,199716128302we,1038919970202127142,,1,1,,2,1,127,117,Y,2,12,8,3,1038919970202011,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202011,,8,,,SEMINOLE,02APR97:14:41,1,8,1,,,,0,0,1,,8,1320,16827.731321,199716128302we,,0,1038919970202011,,,,32779,03/03/2025
