PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,MODE_ASG,ASG_CODE,MONTH,KOD,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108001,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108001,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2203,3128.0960018,200316128301wd,,0,1234120030108001,99997,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108002,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108002,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2207,3128.0960018,200316128301wd,,0,1234120030108002,99997,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108003,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108003,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2210,3128.0960018,200316128301wd,,0,1234120030108003,99997,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108004,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108004,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2214,3128.0960018,200316128301wd,,0,1234120030108004,99997,03/03/2025
,,200316128301wd,1234120030108117,0,1,1,,2,1,11,11,Y,4,12,,1,1234120030108005,7,1,3,1,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108005,1,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,8,4175.2923939,200316128301wd,,0,1234120030108005,33309,03/03/2025
,,200316128301wd,1234120030108117,0,1,1,,2,1,11,11,Y,4,12,,1,1234120030108006,7,1,3,1,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108006,1,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,12,4175.2923939,200316128301wd,,0,1234120030108006,33309,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,3,6,,1,1234120030108007,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108007,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,34,4175.2923939,200316128301wd,,0,1234120030108007,33322,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,3,6,,1,1234120030108008,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108008,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,38,4175.2923939,200316128301wd,,0,1234120030108008,33322,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,5,7,,1,1234120030108009,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108009,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,57,4175.2923939,200316128301wd,,0,1234120030108009,33062,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,5,7,,1,1234120030108010,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108010,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,59,4175.2923939,200316128301wd,,0,1234120030108010,33062,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,5,7,,1,1234120030108011,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108011,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,101,4175.2923939,200316128301wd,,0,1234120030108011,33062,03/03/2025
,,200316128301wd,1234120030108117,0,1,1,,2,1,11,11,Y,5,7,,1,1234120030108012,7,1,3,1,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108012,1,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,103,4175.2923939,200316128301wd,,0,1234120030108012,33062,03/03/2025
,,200316128301wd,1234120030108117,0,1,1,,1,1,11,11,Y,2,2,,0.5,1234120030108013,7,1,3,0,1,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108013,1,1,0,8,2,,BROWARD,20MAR200310:09,1,1,1,,,,0,0,1,8,8,121,4175.2923939,200316128301wd,,0,1234120030108013,33060,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108014,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108014,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,124,4175.2923939,200316128301wd,,0,1234120030108014,33060,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108015,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108015,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,126,4175.2923939,200316128301wd,,0,1234120030108015,33060,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108016,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108016,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,127,4175.2923939,200316128301wd,,0,1234120030108016,33060,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108017,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108017,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,128,4175.2923939,200316128301wd,,0,1234120030108017,33060,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,4,4,,2,1234120030108018,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108018,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,131,4175.2923939,200316128301wd,,0,1234120030108018,33067,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,4,4,,2,1234120030108019,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108019,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,132,4175.2923939,200316128301wd,,0,1234120030108019,33067,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,0,6,,1,1234120030108020,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108020,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,137,4175.2923939,200316128301wd,,0,1234120030108020,33311,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,0,6,,1,1234120030108021,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108021,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,139,4175.2923939,200316128301wd,,0,1234120030108021,33311,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,0,6,,1,1234120030108022,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108022,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,141,4175.2923939,200316128301wd,,0,1234120030108022,33311,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,99,Y,1,1,,1.5,1234120030108023,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108023,,,,8,1,,PALM BEACH,20MAR200310:09,1,8,1,,,,0,0,1,8,8,219,4175.2923939,200316128301wd,,0,1234120030108023,33463,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,99,Y,1,1,,1.5,1234120030108024,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108024,,,,8,1,,PALM BEACH,20MAR200310:09,1,8,1,,,,0,0,1,8,8,221,4175.2923939,200316128301wd,,0,1234120030108024,33463,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,99,Y,1,1,,1.5,1234120030108025,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108025,,,,8,1,,PALM BEACH,20MAR200310:09,1,8,1,,,,0,0,1,8,8,223,4175.2923939,200316128301wd,,0,1234120030108025,33463,03/03/2025
,,200316128301wd,1234120030108117,0,1,1,,1,1,11,99,Y,1,1,,1.5,1234120030108026,7,1,3,0,2,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108026,1,3,0,8,1,,PALM BEACH,20MAR200310:09,1,1,1,,,,0,0,1,8,8,227,4175.2923939,200316128301wd,,0,1234120030108026,33463,03/03/2025
,,200316128301wd,1234120030108117,0,1,1,,1,1,11,11,Y,4,12,,1,1234120030108027,7,1,3,1,2,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108027,1,2,0,8,2,,BROWARD,20MAR200310:09,1,1,1,,,,0,0,1,8,8,310,4175.2923939,200316128301wd,,0,1234120030108027,33068,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,4,12,,1,1234120030108028,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108028,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,314,4175.2923939,200316128301wd,,0,1234120030108028,33068,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,4,12,,1,1234120030108029,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108029,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,316,4175.2923939,200316128301wd,,0,1234120030108029,33062,03/03/2025
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,4,12,,1,1234120030108030,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108030,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,318,4175.2923939,200316128301wd,,0,1234120030108030,33311,03/03/2025
,,200316128301wd,123412003010986279,,1,1,,2,1,86,86,Y,4,8,,2,1234120030109011,279,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030109,01,wd,,1234120030109011,,,,8,2,,MIAMI-DADE,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2235,4175.2923939,200316128301wd,,0,1234120030109011,33012,03/03/2025
,,200316128301wd,123412003010986279,,1,1,,2,1,86,86,Y,4,8,,2,1234120030109012,279,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030109,01,wd,,1234120030109012,,,,8,2,,MIAMI-DADE,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2237,4175.2923939,200316128301wd,,0,1234120030109012,33012,03/03/2025
,FLORIDA POMPANO,200316128301wd,123412003010986279,0,1,1,,1,1,86,86,Y,1,30,,4,1234120030109013,279,1,3,0,1,0,0,,,6,12,12,6,1,1,2003,,1234120030109,01,wd,,1234120030109013,1,1,0,8,2,,MIAMI-DADE,20MAR200310:09,1,1,1,,,,8835280901,0,1,8,8,2350,4175.2923939,200316128301wd,,0,1234120030109013,33018,03/03/2025
,,200316128301wd,123412003010986279,,1,1,,2,1,86,86,Y,1,30,,4,1234120030109014,279,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030109,01,wd,,1234120030109014,,,,8,2,,MIAMI-DADE,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2353,4175.2923939,200316128301wd,,0,1234120030109014,33018,03/03/2025
,SPANISH MACKEREL,200316128301wd,123412003010986279,0,1,1,,2,1,86,86,Y,15,150,,5,1234120030109015,279,1,3,1,0,0,0,,,6,12,12,6,1,1,2003,,1234120030109,01,wd,,1234120030109015,1,0,2,8,1,,MIAMI-DADE,20MAR200310:09,1,8,1,,,,8850030502,0,1,8,8,106,4175.2923939,200316128301wd,,0,1234120030109015,33312,03/03/2025
