PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,MODE_ASG,NUM_TYP9,ASG_CODE,MONTH,KOD,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,BLUEFISH,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,50,100,,5,1169420031102001,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102001,,,,8,1,,NEW LONDON,20040317,8,8,1,5,,,8835250101,,1,,8,1630,7819.1799431,20036498311we,,0,1169420031102001,06320,03/03/2025
,BLUEFISH,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,0,0,,5,1169420031102002,3004,5,3,1,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102002,1,,,8,2,,NEW LONDON,20040317,8,8,1,5,,,8835250101,,1,,8,1632,7819.1799431,20036498311we,,0,1169420031102002,06320,03/03/2025
,BLUEFISH,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,0,0,,5,1169420031102003,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102003,,,,8,2,,NEW LONDON,20040317,8,8,1,5,,,8835250101,,1,,8,1634,7819.1799431,20036498311we,,0,1169420031102003,06320,03/03/2025
,STRIPED BASS,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,30,150,,2,1169420031102004,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102004,,,,8,1,,NEW LONDON,20040317,8,8,1,5,,,8835020102,,1,,8,1700,7819.1799431,20036498311we,,0,1169420031102004,06320,03/03/2025
,STRIPED BASS,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,30,150,,2,1169420031102005,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102005,,,,8,2,,NEW LONDON,20040317,8,8,1,5,,,8835020102,,1,,8,1702,7819.1799431,20036498311we,,0,1169420031102005,99998,03/03/2025
,STRIPED BASS,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,20,70,,1.5,1169420031102006,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102006,,,,8,1,,NEW LONDON,20040317,8,8,1,5,,,8835020102,,1,,8,1720,7819.1799431,20036498311we,,0,1169420031102006,06372,03/03/2025
,HICKORY SHAD,20036498311wd,11694200311077440,,C,5,0,2,1,7,3,Y,8,16,,1.5,1169420031107001,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107001,,,,8,1,,HARTFORD,20040317,8,8,1,3,,,8747010103,,1,,8,1035,8698.6169098,20036498311wd,,0,1169420031107001,06053,03/03/2025
HICKORY SHAD,STRIPED BASS,20036498311wd,11694200311077440,0,C,5,0,2,1,7,11,Y,16,45,,2.5,1169420031107002,440,3,3,2,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107002,1,,,8,1,,NEW LONDON,20040317,8,8,1,3,,,8835020102,8747010103,1,,8,1108,8698.6169098,20036498311wd,,0,1169420031107002,06333,03/03/2025
STRIPED BASS,HICKORY SHAD,20036498311wd,11694200311077440,,C,5,0,2,1,7,15,Y,25,45,,1.5,1169420031107006,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107006,,,,8,1,,WINDHAM,20040317,8,8,1,3,,,8747010103,8835020102,1,,8,1410,8698.6169098,20036498311wd,,0,1169420031107006,06354,03/03/2025
,STRIPED BASS,20036498311wd,11694200311077440,,C,5,0,2,1,7,7,Y,0,0,,0.5,1169420031107007,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107007,,,,8,1,,MIDDLESEX,20040317,8,8,1,3,,,8835020102,,1,,8,1418,8698.6169098,20036498311wd,,0,1169420031107007,06413,03/03/2025
,STRIPED BASS,20036498311wd,11694200311077440,,C,5,0,2,1,7,7,Y,0,0,,0.5,1169420031107008,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107008,,,,8,2,,MIDDLESEX,20040317,8,8,1,3,,,8835020102,,1,,8,1420,8698.6169098,20036498311wd,,0,1169420031107008,06413,03/03/2025
,STRIPED BASS,20036498311wd,11694200311077440,,C,5,0,2,1,7,73,O,0,0,,0.5,1169420031107009,440,3,3,0,0,0,0,,,1,9,6,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107009,,,,8,1,,SAN DIEGO,20040317,8,8,1,3,,,8835020102,,1,,8,1422,10220.133348,20036498311wd,,0,1169420031107009,92084,03/03/2025
,STRIPED BASS,20036498311wd,11694200311077440,0,C,5,0,2,1,7,3,Y,9,52,,1.5,1169420031107010,440,3,3,2,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107010,1,,,8,1,,HARTFORD,20040317,8,8,1,3,,,8835020102,,1,,8,1428,8698.6169098,20036498311wd,,0,1169420031107010,06062,03/03/2025
STRIPED BASS,HICKORY SHAD,20036498311wd,11695200311037440,0,C,5,0,2,1,7,7,Y,25,30,,2,1169520031103001,440,3,3,1,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169520031103,11,wd,,1169520031103001,1,,,8,1,,MIDDLESEX,20040317,8,8,1,3,,,8747010103,8835020102,1,,8,1450,8698.6169098,20036498311wd,,0,1169520031103001,06422,03/03/2025
STRIPED BASS,HICKORY SHAD,20036498311wd,11695200311037440,0,C,5,0,1,1,7,7,Y,6,10,,2,1169520031103002,440,3,3,1,1,0,0,,,4,9,9,4,1,6,2003,1,0,1169520031103,11,wd,,1169520031103002,1,1,0,8,1,,MIDDLESEX,20040317,8,1,1,3,,,8747010103,8835020102,1,,8,1451,8698.6169098,20036498311wd,,0,1169520031103002,06422,03/03/2025
STRIPED BASS,BLUEBACK HERRING,20036498311wd,11695200311037440,,C,5,0,2,1,7,3,Y,20,35,,1,1169520031103003,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169520031103,11,wd,,1169520031103003,,,,8,1,,HARTFORD,20040317,8,8,1,3,,,8747010102,8835020102,1,,8,1500,8698.6169098,20036498311wd,,0,1169520031103003,06447,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,4,8,1,5,1169420031108001,643,6,6,0,3,0,0,1,36,4,9,9,4,1,6,2003,6,17,1169420031108,11,we,,1169420031108001,1,3,0,8,1,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1255,0,20036498611we,,0,1169420031108001,06052,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,20,24,2,5,1169420031108002,643,6,6,1,5,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1259,0,20036498611we,,0,1169420031108002,06415,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,9,Y,5,6,2,5,1169420031108003,643,6,6,2,1,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,1,0,8,1,,NEW HAVEN,20040317,8,1,1,6,,,8839010101,,1,,8,1302,0,20036498611we,,0,1169420031108003,06457,03/03/2025
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,41,O,0,0,2,5,1169420031108004,643,6,6,0,3,0,1,1,36,5,9,36,4,1,6,2003,6,8,1169420031108,11,we,,1169420031108001,1,3,0,8,1,,,20040317,8,1,1,6,,,,,1,,8,1307,0,20036498611we,,0,1169420031108004,12803,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,15,30,2,5.5,1169420031108005,643,6,6,2,2,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1309,0,20036498611we,,0,1169420031108005,06323,03/03/2025
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,91,O,1,1,2,4,1169420031108006,643,6,6,2,1,0,1,1,36,5,9,36,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,1,0,8,1,,,20040317,8,1,1,6,,,,,1,,8,1310,0,20036498611we,,0,1169420031108006,12831,03/03/2025
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,91,O,1,1,2,4.5,1169420031108007,643,6,6,0,1,0,1,1,36,5,9,36,4,1,6,2003,6,2,1169420031108,11,we,,1169420031108001,1,2,0,8,1,,,20040317,8,1,1,6,,,,,1,,8,1311,0,20036498611we,,0,1169420031108007,12831,03/03/2025
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,7,Y,3,3,2,3.5,1169420031108008,643,6,6,1,2,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,2,0,8,1,,MIDDLESEX,20040317,8,1,1,6,,,,,1,,8,1312,0,20036498611we,,0,1169420031108008,06457,03/03/2025
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,0,1,2,4.5,1169420031108009,643,6,6,0,1,0,1,1,36,4,9,9,4,1,6,2003,6,12,1169420031108,11,we,,1169420031108001,1,1,0,8,1,,HARTFORD,20040317,8,1,1,6,,,,,1,,8,1314,0,20036498611we,,0,1169420031108009,06040,03/03/2025
,TAUTOG,20036498611we,116942003110811643,,C,5,7,2,1,11,15,Y,17,150,2,5,1169420031108010,643,6,6,0,0,0,1,1,36,4,9,9,4,1,6,2003,6,5,1169420031108,11,we,,1169420031108001,,,,8,1,,WINDHAM,20040317,8,8,1,6,,,8839010101,,1,,8,1316,0,20036498611we,,0,1169420031108010,06249,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,10,50,2,5,1169420031108011,643,6,6,0,3,0,1,1,36,4,9,9,4,1,6,2003,6,14,1169420031108,11,we,,1169420031108001,1,4,0,8,1,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1318,0,20036498611we,,0,1169420031108011,06040,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,40,300,2,5,1169420031108012,643,6,6,0,6,0,1,1,36,4,9,9,4,1,6,2003,6,5,1169420031108,11,we,,1169420031108001,1,8,0,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1320,0,20036498611we,,0,1169420031108012,06357,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,4,7,2,5,1169420031108013,643,6,6,2,1,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,2,0,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1321,0,20036498611we,,0,1169420031108013,06355,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,6,10,2,5,1169420031108014,643,6,6,0,1,0,1,1,36,4,9,9,4,1,6,2003,6,1,1169420031108,11,we,,1169420031108001,1,1,0,8,2,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1322,0,20036498611we,,0,1169420031108014,06051,03/03/2025
,TAUTOG,20036498611we,116942003110811643,,C,5,7,2,1,11,15,Y,15,120,2,5,1169420031108015,643,6,6,0,0,0,1,1,36,4,9,9,4,1,6,2003,6,6,1169420031108,11,we,,1169420031108001,,,,8,2,,WINDHAM,20040317,8,8,1,6,,,8839010101,,1,,8,1323,0,20036498611we,,0,1169420031108015,06244,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,8,25,2,5,1169420031108016,643,6,6,2,3,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,3,0,8,1,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1324,0,20036498611we,,0,1169420031108016,06051,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,27,O,8,15,2,5,1169420031108017,643,6,6,1,1,0,1,1,36,4,9,25,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,,20040317,8,1,1,6,,,8839010101,,1,,8,1325,0,20036498611we,,0,1169420031108017,01068,03/03/2025
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,2,1,11,3,Y,16,50,2,5,1169420031108018,643,6,6,1,0,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,HARTFORD,20040317,8,8,1,6,,,8839010101,,1,,8,1326,0,20036498611we,,0,1169420031108018,06119,03/03/2025
