PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,PRIM1,PRIM2,DIST,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,DATE1,MODE2001,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,11,9,11,679,5,3,C,5,3,0,70,2,1,1,0,0,0,0,,,1166320040314002,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314002,,,,NEW LONDON,1215,8857042001,,8,1,1,8,2,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314002,8,06249,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,13,9,11,679,5,3,C,5,3,0,50,9,1,1,0,0,0,0,,,1166320040314003,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314003,,,,TOLLAND,1220,8857042001,,8,1,1,8,2,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314003,8,06237,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,3,9,11,679,5,3,C,5,2,0,100,1,1,1,0,0,0,0,,,1166320040314004,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314004,,,,HARTFORD,1230,8857042001,,8,1,1,8,1,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314004,8,06010,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,9,9,11,679,5,3,C,5,5,0,100,1,1,1,0,0,0,0,,,1166320040314005,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314005,,,,NEW HAVEN,1240,8857042001,,8,1,1,8,1,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314005,8,06512,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,7,9,11,679,5,3,C,5,5,0,50,1,1,1,0,0,0,0,,,1166320040314006,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314006,,,,MIDDLESEX,1250,8857042001,,8,1,1,8,2,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314006,8,06412,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,11,9,11,679,5,3,C,5,4,0,25,4,1,1,0,0,0,0,,,1166320040314010,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314010,,,,NEW LONDON,1320,8857042001,,8,1,1,8,2,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314010,8,06357,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,3,9,11,679,5,3,C,5,6,0,20,2,1,1,0,0,0,0,,,1166320040314011,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314011,,,,HARTFORD,1340,8857042001,,8,1,1,8,1,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314011,8,06111,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,11,9,11,679,5,3,C,5,4,0,30,1,1,1,0,0,0,0,,,1166320040314012,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314012,,,,NEW LONDON,1350,8857042001,,8,1,1,8,2,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314012,8,06340,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,11,9,11,679,5,3,C,5,4,0,50,3,1,1,0,0,0,0,,,1166320040314013,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314013,,,,NEW LONDON,1415,8857042001,,8,1,1,8,1,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314013,8,06415,03/03/2025
,WINTER FLOUNDER,20042498303we,116632004031411679,2004,4,9,11,9,11,679,5,3,C,5,4,0,50,3,1,1,0,0,0,0,,,1166320040314014,4,2,2,,0,0,Y,,1166320040314,1,03,we,1166320040314014,,,,NEW LONDON,1420,8857042001,,8,1,1,8,1,8,,20040720,5,,,,4683.0814224,20042498303we,,0,1166320040314014,8,06415,03/03/2025
