PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,DATE1,DIST,MODE2001,AREA_NC,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,,200516128301wd,1234120050112117,2005,0,99,998,12,11,7,1,3,1,1,2,,0,0,1,1,0,0,0,0,,,1234120050112001,6,1,2,,,,O,,1234120050112,,01,wd,1234120050112001,,,,,1712,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,5237.5138811,200516128301wd,,0,1234120050112001,8,99997,03/03/2025
,,200516128301wd,1234120050112117,2005,0,99,998,12,11,7,1,3,1,1,2,0,0,0,1,1,1,0,0,0,,,1234120050112002,6,1,2,,,,O,,1234120050112,,01,wd,1234120050112002,2,,,,1715,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,5237.5138811,200516128301wd,,0,1234120050112002,8,99997,03/03/2025
,,200516128301wd,1234120050112117,2005,0,99,998,12,11,7,1,3,1,1,2,0,1,0,1,1,1,0,0,0,,,1234120050112003,6,1,2,,,,O,,1234120050112,,01,wd,1234120050112003,2,,,,1717,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,5237.5138811,200516128301wd,,0,1234120050112003,8,99997,03/03/2025
,,200516128301wd,1234120050112117,2005,0,99,998,12,11,7,1,3,1,1,2,0,0,0,1,1,1,0,0,0,,,1234120050112004,6,1,2,,,,O,,1234120050112,,01,wd,1234120050112004,2,,,,1719,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,5237.5138811,200516128301wd,,0,1234120050112004,8,99997,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,2,0,30,7,2,1,1,0,0,0,,,1234120050112005,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112005,2,,,BROWARD,1729,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112005,8,33065,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,2,0,60,15,2,1,1,0,0,0,,,1234120050112006,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112006,2,,,BROWARD,1732,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112006,8,33065,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,2,0,30,6,1,1,2,0,0,0,,,1234120050112007,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112007,2,,,BROWARD,1908,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112007,8,33071,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,99,12,11,7,1,3,1,1,3,,75,15,1,1,0,0,0,0,,,1234120050112008,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112008,,,,PALM BEACH,1915,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112008,8,99998,03/03/2025
,FLORIDA POMPANO,200516128301wd,1234120050112117,2005,6,12,99,12,11,7,1,3,1,1,3,,100,18,1,1,0,0,0,0,,,1234120050112009,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112009,,,,PALM BEACH,1918,1,1,1,8,2,8,,18FEB200510:04,1,,,,,8835280901,,5694.6811751,200516128301wd,,0,1234120050112009,8,99998,03/03/2025
,FLORIDA POMPANO,200516128301wd,1234120050112117,2005,6,12,99,12,11,7,1,3,1,1,3,,40,10,1,1,0,0,0,0,,,1234120050112010,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112010,,,,PALM BEACH,1920,1,1,1,8,2,8,,18FEB200510:04,1,,,,,8835280901,,5694.6811751,200516128301wd,,0,1234120050112010,8,99998,03/03/2025
,FLORIDA POMPANO,200516128301wd,1234120050112117,2005,6,12,99,12,11,7,1,3,1,1,3,,45,10,1,1,0,0,0,0,,,1234120050112011,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112011,,,,PALM BEACH,1922,1,1,1,8,1,8,,18FEB200510:04,1,,,,,8835280901,,5694.6811751,200516128301wd,,0,1234120050112011,8,99998,03/03/2025
,SPANISH MACKEREL,200516128301wd,1234120050112117,2005,6,12,86,12,11,7,1,3,1,1,4,0,60,14,2,1,1,4,0,0,,,1234120050112012,6,1,1,,,,Y,,1234120050112,,01,wd,1234120050112012,2,,,MIAMI-DADE,1939,1,1,1,8,2,1,,18FEB200510:04,1,,,,,8850030502,,5694.6811751,200516128301wd,,0,1234120050112012,8,33155,03/03/2025
,SPANISH MACKEREL,200516128301wd,1234120050112117,2005,6,12,86,12,11,7,1,3,1,1,4,,140,25,2,1,0,0,0,0,,,1234120050112013,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112013,,,,MIAMI-DADE,1942,1,1,1,8,2,8,,18FEB200510:04,1,,,,,8850030502,,5694.6811751,200516128301wd,,0,1234120050112013,8,33155,03/03/2025
,SPANISH MACKEREL,200516128301wd,1234120050112117,2005,6,12,86,12,11,7,1,3,1,1,4,,15,7,2,1,0,0,0,0,,,1234120050112014,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112014,,,,MIAMI-DADE,1944,1,1,1,8,2,8,,18FEB200510:04,1,,,,,8850030502,,5694.6811751,200516128301wd,,0,1234120050112014,8,33155,03/03/2025
,SPANISH MACKEREL,200516128301wd,1234120050112117,2005,6,12,86,12,11,7,1,3,1,1,4,0,150,30,2,1,4,0,0,0,,,1234120050112015,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112015,2,0,18,MIAMI-DADE,1946,1,1,1,8,2,8,,18FEB200510:04,1,,,,,8850030502,,5694.6811751,200516128301wd,,0,1234120050112015,8,33156,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,1,,300,50,1,1,0,0,0,0,,,1234120050112016,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112016,,,,BROWARD,1953,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112016,8,33062,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,1,,15,5,1,1,0,0,0,0,,,1234120050112017,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112017,,,,BROWARD,1955,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112017,8,33062,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,1,0,200,30,2,1,1,0,0,0,,,1234120050112018,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112018,2,,,BROWARD,1958,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112018,8,33062,03/03/2025
,SPANISH MACKEREL,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,8,,80,12,1,1,0,0,0,0,,,1234120050112019,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112019,,,,BROWARD,2308,1,1,1,8,2,8,,18FEB200510:04,1,,,,,8850030502,,5694.6811751,200516128301wd,,0,1234120050112019,8,33060,03/03/2025
,,200516128301wd,1234120050112117,2005,6,12,11,12,11,7,1,3,1,1,2,0,120,10,1,1,2,0,0,0,,,1234120050112020,6,1,2,,,,Y,,1234120050112,,01,wd,1234120050112020,2,,,BROWARD,2350,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,5694.6811751,200516128301wd,,0,1234120050112020,8,33067,03/03/2025
,,200516128301we,1234120050123117,2005,0,99,998,12,11,7,1,3,1,1,3,,10,10,1,1,0,0,0,0,,,1234120050123001,6,1,2,,,,O,,1234120050123,,01,we,1234120050123001,,,,,1902,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,3317.383483,200516128301we,,0,1234120050123001,8,99997,03/03/2025
,,200516128301we,1234120050123117,2005,0,99,998,12,11,7,1,3,1,1,3,,10,10,1,1,0,0,0,0,,,1234120050123002,6,1,2,,,,O,,1234120050123,,01,we,1234120050123002,,,,,1904,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,3317.383483,200516128301we,,0,1234120050123002,8,99997,03/03/2025
,,200516128301we,1234120050123117,2005,0,99,998,12,11,7,1,3,1,1,3,,10,10,1,1,0,0,0,0,,,1234120050123003,6,1,2,,,,O,,1234120050123,,01,we,1234120050123003,,,,,1906,1,1,1,8,2,8,,18FEB200510:04,1,,,,,,,3317.383483,200516128301we,,0,1234120050123003,8,99997,03/03/2025
,COMMON SNOOK,200516128301we,1234120050123117,2005,6,12,11,12,11,7,1,3,1,1,5,,30,5,1,1,0,0,0,0,,,1234120050123004,6,1,2,,,,Y,,1234120050123,,01,we,1234120050123004,,,,BROWARD,2300,1,1,1,8,1,8,,18FEB200510:04,1,,,,,8835010105,,3606.948201,200516128301we,,0,1234120050123004,8,33330,03/03/2025
,COMMON SNOOK,200516128301we,1234120050123117,2005,6,12,11,12,11,7,1,3,1,1,5,,160,15,1,1,0,0,0,0,,,1234120050123005,6,1,2,,,,Y,,1234120050123,,01,we,1234120050123005,,,,BROWARD,2308,1,1,1,8,2,8,,18FEB200510:04,1,,,,,8835010105,,3606.948201,200516128301we,,0,1234120050123005,8,33062,03/03/2025
,,200516128301we,1234120050123117,2005,6,12,11,12,11,7,1,3,1,1,2,,100,20,1,1,0,0,0,0,,,1234120050123006,6,1,2,,,,Y,,1234120050123,,01,we,1234120050123006,,,,BROWARD,2317,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,3606.948201,200516128301we,,0,1234120050123006,8,33322,03/03/2025
,,200516128301we,1234120050123117,2005,6,12,11,12,11,7,1,3,1,1,2,,100,20,1,1,0,0,0,0,,,1234120050123007,6,1,2,,,,Y,,1234120050123,,01,we,1234120050123007,,,,BROWARD,2320,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,3606.948201,200516128301we,,0,1234120050123007,8,33322,03/03/2025
,,200516128301we,1234120050123117,2005,6,12,11,12,11,7,1,3,1,1,4,,3,0,1,1,0,0,0,0,,,1234120050123008,6,1,2,,,,Y,,1234120050123,,01,we,1234120050123008,,,,BROWARD,1,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,3606.948201,200516128301we,,0,1234120050123008,8,33064,03/03/2025
,,200516128301we,1234120050123117,2005,0,17,31,12,11,7,1,3,1,1,4,,0,0,1,1,0,0,0,0,,,1234120050123009,6,1,2,,,,O,,1234120050123,,01,we,1234120050123009,,,,,4,1,1,1,8,1,8,,18FEB200510:04,1,,,,,,,3317.383483,200516128301we,,0,1234120050123009,8,60682,03/03/2025
,,200516128302wd,1234120050203117,2005,6,12,11,12,11,7,1,3,1,1,2,,150,30,2,1,0,0,0,0,,,1234120050203001,6,1,2,,,,Y,,1234120050203,,02,wd,1234120050203001,,,,BROWARD,1821,1,1,1,8,2,8,,18MAR200510:54,1,,,,,,,5392.512847,200516128302wd,,0,1234120050203001,8,33060,03/03/2025
,,200516128302wd,1234120050203117,2005,6,12,11,12,11,7,1,3,1,1,2,0,180,30,1,1,0,1,0,0,,,1234120050203002,6,1,1,,,,Y,,1234120050203,,02,wd,1234120050203002,2,1,0,BROWARD,1824,1,1,1,8,2,1,,18MAR200510:54,1,,,,,,,5392.512847,200516128302wd,,0,1234120050203002,8,33060,03/03/2025
,,200516128302wd,1234120050203117,2005,6,12,11,12,11,7,1,3,1,1,2,,50,20,1,1,0,0,0,0,,,1234120050203003,6,1,2,,,,Y,,1234120050203,,02,wd,1234120050203003,,,,BROWARD,1826,1,1,1,8,2,8,,18MAR200510:54,1,,,,,,,5392.512847,200516128302wd,,0,1234120050203003,8,33067,03/03/2025
,,200516128302wd,1234120050203117,2005,6,12,99,12,11,7,1,3,1,1,4,,998,98,1,1,0,0,0,0,,,1234120050203004,6,1,2,,,,Y,,1234120050203,,02,wd,1234120050203004,,,,PALM BEACH,1914,1,1,1,8,2,8,,18MAR200510:54,1,,,,,,,5392.512847,200516128302wd,,0,1234120050203004,8,33431,03/03/2025
,,200516128302wd,1234120050203117,2005,1,6,37,12,11,7,1,3,1,1,2,,0,0,2,1,0,0,0,0,,,1234120050203005,6,1,2,,,,O,,1234120050203,,02,wd,1234120050203005,,,,LOS ANGELES,2012,1,1,1,8,2,8,,18MAR200510:54,1,,,,,,,4959.6035356,200516128302wd,,0,1234120050203005,8,90255,03/03/2025
,,200516128302wd,1234120050203117,2005,1,6,37,12,11,7,1,3,1,1,2,,0,0,2,1,0,0,0,0,,,1234120050203006,6,1,2,,,,O,,1234120050203,,02,wd,1234120050203006,,,,LOS ANGELES,2015,1,1,1,8,2,8,,18MAR200510:54,1,,,,,,,4959.6035356,200516128302wd,,0,1234120050203006,8,90255,03/03/2025
,,200516128302wd,1234120050203117,2005,6,12,11,12,11,7,1,3,1,1,6,,40,15,1,1,0,0,0,0,,,1234120050203007,6,1,2,,,,Y,,1234120050203,,02,wd,1234120050203007,,,,BROWARD,2203,1,1,1,8,2,8,,18MAR200510:54,1,,,,,,,5392.512847,200516128302wd,,0,1234120050203007,8,33334,03/03/2025
,,200516128302wd,1234120050203117,2005,6,12,11,12,11,7,1,3,1,1,6,,300,50,1,1,0,0,0,0,,,1234120050203008,6,1,2,,,,Y,,1234120050203,,02,wd,1234120050203008,,,,BROWARD,2245,1,1,1,8,1,8,,18MAR200510:54,1,,,,,,,5392.512847,200516128302wd,,0,1234120050203008,8,33062,03/03/2025
,,200516128302wd,1234120050203117,2005,0,99,998,12,11,7,1,3,1,1,3,,0,0,1,1,0,0,0,0,,,1234120050203009,6,1,2,,,,O,,1234120050203,,02,wd,1234120050203009,,,,,2320,1,1,1,8,1,8,,18MAR200510:54,1,,,,,,,4959.6035356,200516128302wd,,0,1234120050203009,8,99997,03/03/2025
,,200516128302wd,1234120050203117,2005,6,12,11,12,11,7,1,3,1,1,4,,50,5,2,1,0,0,0,0,,,1234120050203010,6,1,2,,,,Y,,1234120050203,,02,wd,1234120050203010,,,,BROWARD,2341,1,1,1,8,1,8,,18MAR200510:54,1,,,,,,,5392.512847,200516128302wd,,0,1234120050203010,8,33311,03/03/2025
