PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,PRIM1,PRIM2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,DATE1,DIST,MODE2001,AREA_NC,MUNI_RES,MUNI_TRP,TSN1,TSN2,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,STRIPED BASS,20052498304wd,11150200504229235,2005,4,9,9,9,9,235,5,3,C,5,1.5,0,240,22,1,1,1,0,0,0,,,1115020050422001,4,2,2,,0,0,Y,,1115020050422,1,04,wd,1115020050422001,1,,,NEW HAVEN,1142,8835020102,,,1,1,8,2,8,,20060124,8,5,,,,167680,,45055.617547,20052498304wd,,0,1115020050422001,8,06473,03/03/2025
,STRIPED BASS,20052498304wd,11150200504229251,2005,4,9,9,9,9,251,1,3,C,5,2,,20,3,1,1,0,0,0,0,,,1115020050422002,4,2,2,,0,0,Y,,1115020050422,1,04,wd,1115020050422002,,,,NEW HAVEN,1228,8835020102,,,1,1,8,2,8,,20060124,8,0,,,,167680,,99588.429103,20052498304wd,,0,1115020050422002,8,06473,03/03/2025
,STRIPED BASS,20052498304we,11150200504249200,2005,4,9,9,9,9,200,1,3,C,5,0.5,,998,6,1,1,0,0,0,0,,,1115020050424001,4,2,2,,0,0,Y,,1115020050424,1,04,we,1115020050424001,,,,NEW HAVEN,1246,8835020102,,,1,1,8,1,8,,20060124,8,1,,,,167680,,3111.2783164,20052498304we,,0,1115020050424001,8,06516,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,1.5,0,10,1,1,1,0,0,0,0,,,1166320050410001,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410001,,,,NEW LONDON,1130,8857042001,,,1,1,8,2,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410001,8,06353,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,1.5,0,25,2,1,1,0,0,0,0,,,1166320050410002,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410002,,,,NEW LONDON,1145,8857042001,,,1,1,8,2,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410002,8,06353,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,3,5,3,0,30,2,1,1,0,0,0,0,,,1166320050410005,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410005,,,,NEW LONDON,1230,8857042001,,,1,1,8,2,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410005,8,06340,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,3,0,40,5,1,1,0,0,0,0,,,1166320050410006,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410006,,,,NEW LONDON,1240,8857042001,,,1,1,8,1,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410006,8,06320,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,3,0,20,1,1,1,0,0,0,0,,,1166320050410007,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410007,,,,NEW LONDON,1245,8857042001,,,1,1,8,1,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410007,8,06320,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,3,0,10,1,1,1,0,0,0,0,,,1166320050410008,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410008,,,,NEW LONDON,1255,8857042001,,,1,1,8,1,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410008,8,06320,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,3,0,30,2,1,1,0,0,0,0,,,1166320050410009,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410009,,,,NEW LONDON,1310,8857042001,,,1,1,8,1,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410009,8,06379,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,3,0,10,1,1,1,0,0,0,0,,,1166320050410010,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410010,,,,NEW LONDON,1315,8857042001,,,1,1,8,1,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410010,8,06379,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,4.5,0,15,1,1,1,0,0,0,0,,,1166320050410011,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410011,,,,NEW LONDON,1320,8857042001,,,1,1,8,1,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410011,8,06340,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,4.5,0,20,2,1,1,0,0,0,0,,,1166320050410012,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410012,,,,NEW LONDON,1325,8857042001,,,1,1,8,2,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410012,8,06340,03/03/2025
