PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,DATE1,DIST,MODE2001,AREA_NC,COMPFLAG,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
STRIPED BASS,BLUEFISH,20056498311we,1170320051106177,2005,4,9,1,9,1,77,5,3,C,5,2.5,0,90,40,1,1,0,1,0,0,,,1170320051106001,4,6,1,,0,0,Y,,1170320051106,1,11,we,1170320051106001,2,1,0,FAIRFIELD,1210,,1,1,8,1,1,,20060403,8,5,,,,,8835250101,8835020102,6272.0728021,20056498311we,,0,1170320051106001,8,06883,03/03/2025
,STRIPED BASS,20056498311we,1170320051106177,2005,4,9,1,9,1,77,5,3,C,5,6,0,50,20,1,1,1,0,0,0,,,1170320051106002,4,6,2,,0,0,Y,,1170320051106,1,11,we,1170320051106002,2,,,FAIRFIELD,1218,,1,1,8,1,8,,20060403,8,5,,,,,8835020102,,6272.0728021,20056498311we,,0,1170320051106002,8,06897,03/03/2025
,,20056498311we,1170320051106177,2005,4,9,1,9,1,77,5,3,C,5,3.5,0,100,10,1,1,0,0,0,0,,,1170320051106003,4,6,2,,0,0,Y,,1170320051106,1,11,we,1170320051106003,,,,FAIRFIELD,1224,,1,1,8,1,8,,20060403,8,5,,,,,,,6272.0728021,20056498311we,,0,1170320051106003,8,06880,03/03/2025
,STRIPED BASS,20056498311we,1170320051106177,2005,4,9,1,9,1,77,5,3,C,5,3.5,0,80,15,1,1,0,0,0,0,,,1170320051106004,4,6,2,,0,0,Y,,1170320051106,1,11,we,1170320051106004,,,,FAIRFIELD,1226,,1,1,8,2,8,,20060403,8,5,,,,,8835020102,,6272.0728021,20056498311we,,0,1170320051106004,8,06880,03/03/2025
STRIPED BASS,BLUEFISH,20056498311we,1170320051106177,2005,4,9,1,9,1,77,5,3,C,5,2,1,30,10,1,1,0,0,0,0,,,1170320051106005,4,6,2,,0,0,Y,,1170320051106,1,11,we,1170320051106005,,,,FAIRFIELD,1242,,1,1,8,1,8,,20060403,8,5,,,,,8835250101,8835020102,6272.0728021,20056498311we,,0,1170320051106005,8,06880,03/03/2025
,STRIPED BASS,20056498311we,117032005111311679,2005,4,9,11,9,11,679,2,3,C,5,1.5,,10,2,1,1,0,0,0,0,,,1170320051113001,4,6,2,,0,0,Y,,1170320051113,1,11,we,1170320051113001,,,,NEW LONDON,1102,,1,1,8,2,8,,20060403,8,2,,,,,8835020102,,49407.49103,20056498311we,,0,1170320051113001,8,06340,03/03/2025
,STRIPED BASS,20056498311we,117032005111311679,2005,4,9,11,9,11,679,2,3,C,5,1.5,,10,2,1,1,0,0,0,0,,,1170320051113002,4,6,2,,0,0,Y,,1170320051113,1,11,we,1170320051113002,,,,NEW LONDON,1105,,1,1,8,2,8,,20060403,8,2,,,,,8835020102,,49407.49103,20056498311we,,0,1170320051113002,8,06340,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,20,6,1,1,0,0,0,0,40,1,1170020051105001,4,6,2,1,12,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,HARTFORD,1300,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105001,8,06053,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,0,0,1,1,0,1,0,1,40,2,1170020051105002,4,6,1,1,9,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,HARTFORD,1302,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105002,8,06040,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,25,13,9,11,643,6,4,C,5,7,0,30,2,1,1,0,2,0,1,40,2,1170020051105003,4,6,1,1,5,8,O,1,1170020051105,6,11,we,1170020051105001,1,1,0,,1304,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,53.233751384,20056498411we,,0,1170020051105003,8,01085,03/03/2025
