PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,COMPFLAG,MUNI_RES,MUNI_TRP,DATE1,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,,200616128301we,1234120060114117,2006,0,99,998,12,11,7,1,3,1,1,3,0,0,0,1,3,0,10,0,0,,,1234120060114005,6,1,1,,,,O,,1234120060114,,01,we,1234120060114005,2,2,0,,1951,0,0,1,1,1,2,1,2,,1,,,,,,,,30APR200714:33,721.21411056,200616128301we,,0,1234120060114005,8,99997,03/03/2025
,,200616128301we,1234120060114117,2006,0,99,998,12,11,7,1,3,1,1,3,,0,0,1,0,0,0,1,0,,,1234120060114006,6,1,3,,,,O,,1234120060114,,01,we,1234120060114005,,,,,1955,0,0,1,1,1,8,1,8,,1,,,,,,,,30APR200714:33,721.21411056,200616128301we,,0,1234120060114005,8,99997,03/03/2025
,,200616128301we,1234120060114117,2006,0,99,998,12,11,7,1,3,1,1,3,,0,0,1,0,0,0,1,0,,,1234120060114007,6,1,3,,,,O,,1234120060114,,01,we,1234120060114005,,,,,1958,0,0,1,1,1,8,1,8,,1,,,,,,,,30APR200714:33,721.21411056,200616128301we,,0,1234120060114005,8,99997,03/03/2025
,,200616128301we,1234120060114117,2006,0,99,998,12,11,7,1,3,1,1,3,,0,0,1,1,0,0,0,0,,,1234120060114008,6,1,2,,,,O,,1234120060114,,01,we,1234120060114008,,,,,2000,0,0,1,1,1,8,1,8,,1,,,,,,,,30APR200714:33,721.21411056,200616128301we,,0,1234120060114008,8,99997,03/03/2025
,,200616128301we,1234120060114117,2006,0,99,998,12,11,7,1,3,1,1,3,0,0,0,1,1,1,0,0,0,,,1234120060114009,6,1,2,,,,O,,1234120060114,,01,we,1234120060114009,2,,,,2003,0,0,1,1,1,8,1,8,,1,,,,,,,,30APR200714:33,721.21411056,200616128301we,,0,1234120060114009,8,99997,03/03/2025
ATLANTIC TARPON,COMMON SNOOK,200616128301we,1234120060114117,2006,6,12,11,12,11,7,1,3,1,1,10,0,150,30,1,1,1,0,0,0,,,1234120060114010,6,1,2,,,,Y,,1234120060114,,01,we,1234120060114010,2,,,BROWARD,50,167648,161116,1,1,1,8,2,8,,1,8835010105,8738020201,,,,,,30APR200714:33,784.16678445,200616128301we,,0,1234120060114010,8,33060,03/03/2025
,,200616128301we,1234120060114117,2006,6,12,11,12,11,7,1,3,1,1,10,0,150,30,1,1,1,0,0,0,,,1234120060114011,6,1,2,,,,Y,,1234120060114,,01,we,1234120060114011,2,0,4,BROWARD,52,0,0,1,1,1,8,2,8,,1,,,,,,,,30APR200714:33,784.16678445,200616128301we,,0,1234120060114011,8,33062,03/03/2025
,,200616128301we,1234120060114117,2006,6,12,11,12,11,7,1,3,1,1,10,0,120,40,1,1,1,0,0,0,,,1234120060114012,6,1,2,,,,Y,,1234120060114,,01,we,1234120060114012,2,0,4,BROWARD,54,0,0,1,1,1,8,2,8,,1,,,,,,,,30APR200714:33,784.16678445,200616128301we,,0,1234120060114012,8,33060,03/03/2025
,,200616128301we,1234120060114117,2006,6,12,11,12,11,7,1,3,1,1,3,,8,3,2,1,0,0,0,0,,,1234120060114013,6,1,2,,,,Y,,1234120060114,,01,we,1234120060114013,,,,BROWARD,57,0,0,1,1,1,8,2,8,,1,,,,,,,,30APR200714:33,784.16678445,200616128301we,,0,1234120060114013,8,33065,03/03/2025
,,200616128301we,1234120060114117,2006,6,12,11,12,11,7,1,3,1,1,3,,12,3,2,1,0,0,0,0,,,1234120060114014,6,1,2,,,,Y,,1234120060114,,01,we,1234120060114014,,,,BROWARD,59,0,0,1,1,1,8,2,8,,1,,,,,,,,30APR200714:33,784.16678445,200616128301we,,0,1234120060114014,8,33067,03/03/2025
,,200616128301we,1234120060114117,2006,6,12,11,12,11,7,1,3,1,1,3,,20,5,1,1,0,0,0,0,,,1234120060114015,6,1,2,,,,Y,,1234120060114,,01,we,1234120060114015,,,,BROWARD,101,0,0,1,1,1,8,2,8,,1,,,,,,,,30APR200714:33,784.16678445,200616128301we,,0,1234120060114015,8,33067,03/03/2025
,,200616128301we,1234120060114117,2006,6,12,11,12,11,7,1,3,1,1,3,,2,2,1,1,0,0,0,0,,,1234120060114016,6,1,2,,,,Y,,1234120060114,,01,we,1234120060114016,,,,BROWARD,103,0,0,1,1,1,8,2,8,,1,,,,,,,,30APR200714:33,784.16678445,200616128301we,,0,1234120060114016,8,33065,03/03/2025
,KINGFISH GENUS,200616128302wd,1511220060206127221,2006,7,12,103,12,127,221,5,3,1,1,2,0,50,7,1,2,0,3,0,0,,,1511220060206001,6,1,1,,,,O,,1511220060206,,02,wd,1511220060206001,2,3,0,PINELLAS,1118,169273,0,1,1,1,2,1,2,,1,8835440600,,,,,,,30APR200714:33,15697.060143,200616128302wd,,0,1511220060206001,8,33765,03/03/2025
,,200616128302wd,1511220060206127221,2006,7,12,103,12,127,221,5,3,1,1,2,0,50,7,1,0,0,0,1,0,,,1511220060206002,6,1,3,,,,O,,1511220060206,,02,wd,1511220060206001,,,,PINELLAS,1119,0,0,1,1,1,8,2,8,,1,,,,,,,,30APR200714:33,15697.060143,200616128302wd,,0,1511220060206001,8,33765,03/03/2025
,,200616128302wd,1511220060206127221,2006,6,12,35,12,127,221,5,3,1,1,2.5,0,6,6,1,1,0,1,0,0,,,1511220060206003,6,1,1,,,,Y,,1511220060206,,02,wd,1511220060206003,2,1,0,FLAGLER,1335,0,0,1,1,1,8,1,1,,1,,,,,,,,30APR200714:33,17067.210691,200616128302wd,,0,1511220060206003,8,32164,03/03/2025
