PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,STRIPED BASS,20072498303wd,117042007031911754,2007,4,9,15,9,11,754,2,3,C,5,0.5,,4,4,1,1,0,0,0,0,,,1170420070319001,4,2,2,,0,0,Y,,1170420070319,1,03,wd,1170420070319001,,,,WINDHAM,1405,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,2,,,,,8166.2720031,20072498303wd,,0,1170420070319001,8,06374,03/03/2025
,STRIPED BASS,20072498303wd,117042007031911754,2007,4,9,11,9,11,754,2,3,C,5,0.5,,100,10,1,1,0,0,0,0,,,1170420070319002,4,2,2,,0,0,Y,,1170420070319,1,03,wd,1170420070319002,,,,NEW LONDON,1406,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,2,,,,,8166.2720031,20072498303wd,,0,1170420070319002,8,06334,03/03/2025
,STRIPED BASS,20072498303we,117042007033111754,2007,4,9,3,9,11,754,1,3,C,5,2.5,,10,0,1,1,0,0,0,0,,,1170420070331001,4,2,2,,0,0,Y,,1170420070331,1,03,we,1170420070331001,,,,HARTFORD,934,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,12053.343149,20072498303we,,0,1170420070331001,8,06053,03/03/2025
,STRIPED BASS,20072498303we,117042007033111754,2007,4,9,11,9,11,754,1,3,C,5,2.5,,3,0,1,1,0,0,0,0,,,1170420070331002,4,2,2,,0,0,Y,,1170420070331,1,03,we,1170420070331002,,,,NEW LONDON,935,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,12053.343149,20072498303we,,0,1170420070331002,8,06450,03/03/2025
,STRIPED BASS,20072498303we,117042007033111754,2007,4,9,1,9,11,754,1,3,C,5,4.5,,340,50,1,1,0,0,0,0,,,1170420070331003,4,2,2,,0,0,Y,,1170420070331,1,03,we,1170420070331003,,,,FAIRFIELD,1020,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,12053.343149,20072498303we,,0,1170420070331003,8,06360,03/03/2025
,STRIPED BASS,20072498303we,117042007033111754,2007,4,9,1,9,11,754,1,3,C,5,4.5,,150,50,1,1,0,0,0,0,,,1170420070331004,4,2,2,,0,0,Y,,1170420070331,1,03,we,1170420070331004,,,,FAIRFIELD,1021,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,12053.343149,20072498303we,,0,1170420070331004,8,06360,03/03/2025
,WINTER FLOUNDER,20072498304wd,117072007041011679,2007,4,9,11,9,11,679,5,3,C,5,2,0,3,1,1,1,1,0,0,0,,,1170720070410001,4,2,2,,0,0,Y,,1170720070410,1,04,wd,1170720070410001,1,,,NEW LONDON,1310,172904,,,1,1,8,1,8,,,20070720,8,8857042001,,5,,,,,5390.556149,20072498304wd,,0,1170720070410001,8,06320,03/03/2025
,WINTER FLOUNDER,20072498304wd,117072007041011679,2007,4,9,11,9,11,679,5,3,C,5,2,0,3,1,1,1,1,0,0,0,,,1170720070410002,4,2,2,,0,0,Y,,1170720070410,1,04,wd,1170720070410002,1,,,NEW LONDON,1320,172904,,,1,1,8,1,8,,,20070720,8,8857042001,,5,,,,,5390.556149,20072498304wd,,0,1170720070410002,8,06320,03/03/2025
,WINTER FLOUNDER,20072498304wd,117072007041011679,2007,4,9,11,9,11,679,5,3,C,5,3,0,30,4,1,1,0,0,0,0,,,1170720070410005,4,2,2,,0,0,Y,,1170720070410,1,04,wd,1170720070410005,,,,NEW LONDON,1415,172904,,,1,1,8,1,8,,,20070720,8,8857042001,,5,,,,,5390.556149,20072498304wd,,0,1170720070410005,8,06351,03/03/2025
,WINTER FLOUNDER,20072498304wd,117072007041011679,2007,4,9,11,9,11,679,5,3,C,5,5,0,20,8,1,1,1,0,0,0,,,1170720070410006,4,2,2,,0,0,Y,,1170720070410,1,04,wd,1170720070410006,1,,,NEW LONDON,1425,172904,,,1,1,8,1,8,,,20070720,8,8857042001,,5,,,,,5390.556149,20072498304wd,,0,1170720070410006,8,06355,03/03/2025
