PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,1,,2,1,2,1,0,0,0,0,,,1234120080228001,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228001,,,,BROWARD,1852,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228001,8,33065,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,1,,2,1,2,1,0,0,0,0,,,1234120080228002,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228002,,,,BROWARD,1854,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228002,8,33065,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,1,,2,1,2,1,0,0,0,0,,,1234120080228003,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228003,,,,BROWARD,1855,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228003,8,33065,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,1,,2,1,2,1,0,0,0,0,,,1234120080228004,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228004,,,,BROWARD,1856,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228004,8,33065,03/03/2025
,,200816128302wd,123412008022811109,2008,0,99,998,12,11,109,1,3,1,1,2,,0,0,1,1,0,0,0,0,,,1234120080228005,6,1,2,,,,O,,1234120080228,,02,wd,1234120080228005,,,,,2002,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,4777.351999,200816128302wd,,0,1234120080228005,8,99997,03/03/2025
,,200816128302wd,123412008022811109,2008,0,99,998,12,11,109,1,3,1,1,2,,0,0,1,1,0,0,0,0,,,1234120080228006,6,1,2,,,,O,,1234120080228,,02,wd,1234120080228006,,,,,2004,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,4777.351999,200816128302wd,,0,1234120080228006,8,99997,03/03/2025
,,200816128302wd,123412008022811109,2008,0,99,998,12,11,109,1,3,1,1,2,,0,0,1,1,0,0,0,0,,,1234120080228007,6,1,2,,,,O,,1234120080228,,02,wd,1234120080228007,,,,,2005,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,4777.351999,200816128302wd,,0,1234120080228007,8,99997,03/03/2025
,,200816128302wd,123412008022811109,2008,0,99,998,12,11,109,1,3,1,1,2,,0,0,1,1,0,0,0,0,,,1234120080228008,6,1,2,,,,O,,1234120080228,,02,wd,1234120080228008,,,,,2007,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,4777.351999,200816128302wd,,0,1234120080228008,8,99997,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,86,12,11,109,1,3,1,1,4,,4,2,2,0,0,0,1,0,,,1234120080228009,6,1,3,,,,Y,,1234120080228,,02,wd,1234120080228010,,,,MIAMI-DADE,2232,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228010,8,33155,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,86,12,11,109,1,3,1,1,5,0,8,2,2,2,0,7,0,0,,,1234120080228010,6,1,1,,,,Y,,1234120080228,,02,wd,1234120080228010,2,3,0,MIAMI-DADE,2234,0,0,1,1,1,2,2,2,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228010,8,33155,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,7,0,100,45,1,1,0,1,0,0,,,1234120080228011,6,1,1,,,,Y,,1234120080228,,02,wd,1234120080228011,2,1,0,BROWARD,2357,0,0,1,1,1,8,1,1,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228011,8,33020,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,0.5,,4,1,2,1,0,0,0,0,,,1234120080228012,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228012,,,,BROWARD,10,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228012,8,33313,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,0.5,,4,1,2,1,0,0,0,0,,,1234120080228013,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228013,,,,BROWARD,12,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228013,8,33313,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,0.5,,4,1,2,1,0,0,0,0,,,1234120080228014,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228014,,,,BROWARD,13,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228014,8,33313,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,12,0,200,28,1,1,5,0,0,0,,,1234120080228015,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228015,2,,,BROWARD,36,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228015,8,33068,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,3,,2,1,1,1,0,0,0,0,,,1234120080228016,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228016,,,,BROWARD,48,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228016,8,33023,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,3,,52,8,1,1,0,0,0,0,,,1234120080228017,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228017,,,,BROWARD,50,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228017,8,33023,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,3,,52,8,1,1,0,0,0,0,,,1234120080228018,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228018,,,,BROWARD,52,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228018,8,33023,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,3,,0,0,1,1,0,0,0,0,,,1234120080228019,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228019,,,,BROWARD,54,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228019,8,33023,03/03/2025
,,200816128302wd,123412008022811109,2008,6,12,11,12,11,109,1,3,1,1,1.5,,12,3,2,1,0,0,0,0,,,1234120080228020,6,1,2,,,,Y,,1234120080228,,02,wd,1234120080228020,,,,BROWARD,125,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,5194.353106,200816128302wd,,0,1234120080228020,8,33060,03/03/2025
,BLACK DRUM,200816128301we,1511220080105127175,2008,6,12,127,12,127,175,1,3,1,1,12,0,50,7,1,1,2,4,0,0,,,1511220080105022,6,1,1,,,,Y,,1511220080105,,01,we,1511220080105022,2,3,0,VOLUSIA,1800,169288,0,1,1,1,8,1,1,,2,19FEB200808:08,1,8835440801,,,,,,,,15862.195109,200816128301we,,0,1511220080105022,8,32114,03/03/2025
BLACK DRUM,FLORIDA POMPANO,200816128302we,1511220080203127221,2008,6,12,127,12,127,221,5,3,1,1,1,0,24,6,1,1,0,0,0,0,,,1511220080203001,6,1,2,,,,Y,,1511220080203,,02,we,1511220080203001,,,,VOLUSIA,1305,168708,169288,1,1,1,8,1,8,,1,20MAR200815:26,1,8835280901,8835440801,,,,,,,25995.217568,200816128302we,,0,1511220080203001,8,32176,03/03/2025
,,200816128302we,1511220080203127221,2008,0,17,111,12,127,221,5,3,1,1,2,0,0,0,1,1,0,0,0,0,,,1511220080203002,6,1,2,,,,O,,1511220080203,,02,we,1511220080203002,,,,,1407,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,23908.32931,200816128302we,,0,1511220080203002,8,60142,03/03/2025
,BLACK DRUM,200816128302we,1511220080203127221,2008,5,34,31,12,127,221,5,3,1,1,2,0,8,8,1,1,0,1,0,0,,,1511220080203003,6,1,1,,,,O,,1511220080203,,02,we,1511220080203003,2,1,0,PASSAIC,1500,169288,0,1,1,1,8,2,1,,2,20MAR200815:26,1,8835440801,,,,,,,,23908.32931,200816128302we,,0,1511220080203003,8,07438,03/03/2025
,,200816128302we,1511220080203127221,2008,6,12,127,12,127,221,5,3,1,1,3,0,0,0,1,1,0,0,0,0,,,1511220080203004,6,1,2,,,,Y,,1511220080203,,02,we,1511220080203004,,,,VOLUSIA,1520,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,25995.217568,200816128302we,,0,1511220080203004,8,32738,03/03/2025
,,200816128302we,1511220080203127221,2008,6,12,127,12,127,221,5,3,1,1,3,0,0,0,1,1,0,0,0,0,,,1511220080203005,6,1,2,,,,Y,,1511220080203,,02,we,1511220080203005,,,,VOLUSIA,1521,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,25995.217568,200816128302we,,0,1511220080203005,8,32738,03/03/2025
,,200816128302we,1511220080203127221,2008,6,12,127,12,127,221,5,3,1,1,2,0,45,6,2,1,0,0,0,0,,,1511220080203006,6,1,2,,,,Y,,1511220080203,,02,we,1511220080203006,,,,VOLUSIA,1529,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,25995.217568,200816128302we,,0,1511220080203006,8,32176,03/03/2025
,,200816128302we,1511220080203127221,2008,6,12,127,12,127,221,5,3,1,1,2,0,45,6,2,1,0,0,0,0,,,1511220080203007,6,1,2,,,,Y,,1511220080203,,02,we,1511220080203007,,,,VOLUSIA,1530,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,25995.217568,200816128302we,,0,1511220080203007,8,32176,03/03/2025
,,200816128302we,1511220080203127221,2008,6,12,127,12,127,221,5,3,1,1,2.5,0,5,5,1,1,0,0,0,0,,,1511220080203008,6,1,2,,,,Y,,1511220080203,,02,we,1511220080203008,,,,VOLUSIA,1540,0,0,1,1,1,8,1,8,,2,20MAR200815:26,1,,,,,,,,,25995.217568,200816128302we,,0,1511220080203008,8,32176,03/03/2025
,,200816128302we,1511220080203127221,2008,6,12,127,12,127,221,5,3,1,1,2.5,0,40,40,1,1,0,0,0,0,,,1511220080203009,6,1,2,,,,Y,,1511220080203,,02,we,1511220080203009,,,,VOLUSIA,1541,0,0,1,1,1,8,2,8,,2,20MAR200815:26,1,,,,,,,,,25995.217568,200816128302we,,0,1511220080203009,8,32176,03/03/2025
