PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,STRIPED BASS,20086498312wd,117102008120311604,2008,4,9,11,9,11,604,1,3,C,5,1,,2,2,1,1,0,0,0,0,,,1171020081203001,4,6,2,,0,0,Y,,1171020081203,1,12,wd,1171020081203001,,,,NEW LONDON,1000,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,0,,8,,,,,,,,,,124977.0618,20086498312wd,,0,1171020081203001,8,06249,03/03/2025
,STRIPED BASS,20086498312wd,117102008120311604,2008,5,36,35,9,11,604,1,3,C,5,1,,1,1,9,1,0,0,0,0,,,1171020081203002,4,6,2,,0,0,O,,1171020081203,1,12,wd,1171020081203002,,,,,1005,167680,,,1,1,8,2,8,,,20090325,8,8835020102,,0,,8,,,,,,,,,,12822.079912,20086498312wd,,0,1171020081203002,8,99999,03/03/2025
,,20086498499xx,20086498499xx0000,2008,,,,9,,,,4,,2,,,,,,,,,,,,,20086498499xx002,4,6,,,,,,,,,99,xx,20086498499xx002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.631896376,,,0,20086498499xx002,8,,03/03/2025
,,20086498499xx,20086498499xx0000,2008,,,,9,,,,4,,5,,,,,,,,,,,,,20086498499xx005,4,6,,,,,,,,,99,xx,20086498499xx005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.65686357,,,0,20086498499xx005,8,,03/03/2025
,,20086498599xx,20086498599xx0000,2008,,,,9,,,,5,,5,,,,,,,,,,,,,20086498599xx005,4,6,,,,,,,,,99,xx,20086498599xx005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.3192771,,,0,20086498599xx005,8,,03/03/2025
BLUEFISH,STRIPED BASS,20086498711we,11710200811017825,2008,4,9,7,9,7,825,8,7,C,5,6,0,15,10,1,1,2,0,0,0,2,1,1171020081101001,4,6,2,,0,6.5,Y,,1171020081101,3,11,we,1171020081101001,1,0,4,MIDDLESEX,1100,167680,168559,,1,1,8,1,8,,,20090325,8,8835020102,8835250101,8,,8,,,,,,,,,,3523.5674086,20086498711we,,0,1171020081101001,8,06475,03/03/2025
BLUEFISH,STRIPED BASS,20086498711we,11710200811017825,2008,4,9,7,9,7,825,8,7,C,5,6,0,30,15,1,1,2,0,0,1,2,2,1171020081101002,4,6,2,,0,6.5,Y,,1171020081101,3,11,we,1171020081101001,1,0,3,MIDDLESEX,1105,167680,168559,,1,1,8,1,8,,,20090325,8,8835020102,8835250101,8,,8,,,,,,,,,,3523.5674086,20086498711we,,0,1171020081101002,8,06475,03/03/2025
TAUTOG,STRIPED BASS,20086498711we,11710200811017825,2008,4,9,7,9,7,825,8,7,C,5,4.5,0,15,7,1,1,3,0,0,0,1,8,1171020081101003,4,6,2,,0,5,Y,,1171020081101,3,11,we,1171020081101003,1,,,MIDDLESEX,1115,167680,170479,,1,1,8,1,8,,,20090325,8,8835020102,8839010101,8,,8,,,,,,,,,,3523.5674086,20086498711we,,0,1171020081101003,8,06498,03/03/2025
,TAUTOG,20086498711we,11710200811017825,2008,4,9,3,9,7,825,8,7,C,5,5,0,10,2,2,1,2,0,0,0,2,1,1171020081101005,4,6,2,,0,5,Y,,1171020081101,3,11,we,1171020081101005,1,0,1,HARTFORD,1320,170479,,,1,1,8,2,8,,,20090325,8,8839010101,,8,,8,,,,,,,,,,3523.5674086,20086498711we,,0,1171020081101005,8,06010,03/03/2025
,TAUTOG,20086498711we,11710200811017825,2008,4,9,7,9,7,825,8,7,C,5,5,0,15,5,1,1,2,0,0,1,2,2,1171020081101006,4,6,2,,0,5,Y,,1171020081101,3,11,we,1171020081101005,1,0,2,MIDDLESEX,1330,170479,,,1,1,8,1,8,,,20090325,8,8839010101,,8,,8,,,,,,,,,,3523.5674086,20086498711we,,0,1171020081101006,8,06010,03/03/2025
,TAUTOG,20086498711we,11710200811097825,2008,4,9,7,9,7,825,8,7,C,5,3.5,,75,15,1,1,0,0,0,0,3,1,1171020081109001,4,6,2,,0,4,Y,,1171020081109,3,11,we,1171020081109001,,,,MIDDLESEX,1315,170479,,,1,1,8,1,8,,,20090325,8,8839010101,,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109001,8,06475,03/03/2025
,TAUTOG,20086498711we,11710200811097825,2008,4,9,7,9,7,825,8,7,C,5,3.5,,60,10,1,1,0,0,0,1,3,2,1171020081109002,4,6,2,,0,4,Y,,1171020081109,3,11,we,1171020081109001,,,,MIDDLESEX,1320,170479,,,1,1,8,1,8,,,20090325,8,8839010101,,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109002,8,06475,03/03/2025
,TAUTOG,20086498711we,11710200811097825,2008,4,9,7,9,7,825,8,7,C,5,3.5,0,50,10,1,1,2,0,0,1,3,2,1171020081109003,4,6,2,,0,4,Y,,1171020081109,3,11,we,1171020081109001,1,0,2,MIDDLESEX,1330,170479,,,1,1,8,1,8,,,20090325,8,8839010101,,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109003,8,06475,03/03/2025
,STRIPED BASS,20086498711we,11710200811097825,2008,4,9,9,9,7,825,8,7,C,5,1.5,0,30,2,2,1,1,0,0,0,1,8,1171020081109004,4,6,2,,0,2,Y,,1171020081109,3,11,we,1171020081109004,1,,,NEW HAVEN,1350,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109004,8,06405,03/03/2025
BLUEFISH,STRIPED BASS,20086498711we,11710200811097825,2008,4,9,7,9,7,825,8,7,C,5,6,0,50,20,1,1,1,0,0,0,4,1,1171020081109005,4,6,2,,0,6.5,Y,,1171020081109,3,11,we,1171020081109005,1,,,MIDDLESEX,1400,167680,168559,,1,1,8,1,8,,,20090325,8,8835020102,8835250101,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109005,8,06425,03/03/2025
BLUEFISH,STRIPED BASS,20086498711we,11710200811097825,2008,4,9,3,9,7,825,8,7,C,5,6,0,35,15,1,1,2,0,0,1,4,2,1171020081109006,4,6,2,,0,6.5,Y,,1171020081109,3,11,we,1171020081109005,1,,,HARTFORD,1405,167680,168559,,1,1,8,1,8,,,20090325,8,8835020102,8835250101,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109006,8,06074,03/03/2025
BLUEFISH,STRIPED BASS,20086498711we,11710200811097825,2008,4,9,3,9,7,825,8,7,C,5,6,0,20,10,1,1,1,0,0,1,4,2,1171020081109007,4,6,2,,0,6.5,Y,,1171020081109,3,11,we,1171020081109005,1,,,HARTFORD,1410,167680,168559,,1,1,8,1,8,,,20090325,8,8835020102,8835250101,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109007,8,06074,03/03/2025
