PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,HRS_DTD,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,BLUEFISH,200916128301wd,151122009010235917,2009,5,36,35,12,35,917,5,3,1,1,2.5,0,3,3,1,1,0,2,0,0,,,1511220090102001,6,1,1,,,,O,,1511220090102,,01,wd,1511220090102001,2,1,0,,1121,168559,0,1,1,1,8,2,1,,1,,20FEB200908:17,1,8835250101,,,,,,,,,,,,,,24579.509136,200916128301wd,,0,1511220090102001,8,12025,03/03/2025
,BLUEFISH,200916128301wd,151122009010235917,2009,5,36,35,12,35,917,5,3,1,1,2.5,0,3,3,1,1,0,0,0,0,,,1511220090102002,6,1,2,,,,O,,1511220090102,,01,wd,1511220090102002,,,,,1122,168559,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,8835250101,,,,,,,,,,,,,,24579.509136,200916128301wd,,0,1511220090102002,8,12025,03/03/2025
,FLORIDA POMPANO,200916128301wd,151122009010235917,2009,6,37,87,12,35,917,5,3,1,1,2,1.5,10,0,1,1,0,0,0,0,,,1511220090102003,6,1,2,,,,O,,1511220090102,,01,wd,1511220090102003,,,,,1152,168708,0,1,1,1,8,1,8,,1,,20FEB200908:17,1,8835280901,,,,,,,,,,,,,,24579.509136,200916128301wd,,0,1511220090102003,8,28721,03/03/2025
,KINGFISH GENUS,200916128301wd,151122009010235917,2009,6,12,107,12,35,917,5,3,1,1,7,0,998,15,1,2,1,16,0,0,,,1511220090102004,6,1,1,,,,Y,,1511220090102,,01,wd,1511220090102004,2,5,0,PUTNAM,1600,169273,0,1,1,1,2,1,2,,2,,20FEB200908:17,1,8835440600,,,,,,,,,,,,,,26724.982721,200916128301wd,,0,1511220090102004,8,32181,03/03/2025
,KINGFISH GENUS,200916128301wd,151122009010235917,2009,6,12,107,12,35,917,5,3,1,1,7,0,998,15,1,0,2,0,1,0,,,1511220090102005,6,1,3,,,,Y,,1511220090102,,01,wd,1511220090102004,2,,,PUTNAM,1601,169273,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,8835440600,,,,,,,,,,,,,,26724.982721,200916128301wd,,0,1511220090102004,8,32181,03/03/2025
,KINGFISH GENUS,200916128301wd,151122009010235917,2009,6,12,69,12,35,917,5,3,1,1,3.5,0.5,46,20,2,2,1,4,0,0,,,1511220090102006,6,1,1,,,,Y,,1511220090102,,01,wd,1511220090102006,2,,,LAKE,1612,169273,0,1,1,1,2,1,2,,1,,20FEB200908:17,1,8835440600,,,,,,,,,,,,,,26724.982721,200916128301wd,,0,1511220090102006,8,99998,03/03/2025
,KINGFISH GENUS,200916128301wd,151122009010235917,2009,6,12,69,12,35,917,5,3,1,1,3.5,0.5,2,0,1,0,0,0,1,0,,,1511220090102007,6,1,3,,,,Y,,1511220090102,,01,wd,1511220090102006,,,,LAKE,1613,169273,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,8835440600,,,,,,,,,,,,,,26724.982721,200916128301wd,,0,1511220090102006,8,99998,03/03/2025
,,200916128301wd,151122009010235220,2009,7,12,57,12,35,220,5,3,1,1,2.5,1,998,8,1,1,1,0,0,0,,,1511220090102008,6,1,2,,,,O,,1511220090102,,01,wd,1511220090102008,2,,,HILLSBOROUGH,1628,0,0,1,1,1,8,1,8,,1,,20FEB200908:17,1,,,,,,,,,,,,,,,21572.504084,200916128301wd,,0,1511220090102008,8,33592,03/03/2025
,,200916128301we,151122009011112721,2009,0,99,998,12,127,21,1,3,1,1,1.5,,0,0,1,1,0,0,0,0,,,1511220090111001,6,1,2,,,,O,,1511220090111,,01,we,1511220090111001,,,,,1245,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111001,8,99997,03/03/2025
,,200916128301we,151122009011112721,2009,6,12,117,12,127,21,1,3,1,1,7,0,75,2,2,2,1,7,0,0,,,1511220090111002,6,1,1,,,,Y,,1511220090111,,01,we,1511220090111002,2,4,0,SEMINOLE,1301,0,0,1,1,1,2,1,2,,1,,20FEB200908:17,1,,,,,,,,,,,,,,,24576.435115,200916128301we,,0,1511220090111002,8,32746,03/03/2025
,,200916128301we,151122009011112721,2009,6,12,117,12,127,21,1,3,1,1,7,,998,4,1,0,0,0,1,0,,,1511220090111003,6,1,3,,,,Y,,1511220090111,,01,we,1511220090111002,,,,SEMINOLE,1302,0,0,1,1,1,8,2,8,,1,,20FEB200908:17,1,,,,,,,,,,,,,,,24576.435115,200916128301we,,0,1511220090111002,8,32773,03/03/2025
,,200916128301we,151122009011112721,2009,6,12,127,12,127,21,1,3,1,1,4.5,0,998,60,2,1,1,0,0,0,,,1511220090111004,6,1,2,,,,Y,,1511220090111,,01,we,1511220090111004,2,,,VOLUSIA,1309,0,0,1,1,1,8,1,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,24576.435115,200916128301we,,0,1511220090111004,8,32114,03/03/2025
,,200916128301we,151122009011112721,2009,0,21,29,12,127,21,1,3,1,1,2.5,,3,3,1,1,0,0,0,0,,,1511220090111005,6,1,2,,,,O,,1511220090111,,01,we,1511220090111005,,,,,1335,0,0,1,1,1,8,1,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111005,8,40165,03/03/2025
,,200916128301we,151122009011112721,2009,0,21,29,12,127,21,1,3,1,1,2.5,,3,3,1,1,0,0,0,0,,,1511220090111006,6,1,2,,,,O,,1511220090111,,01,we,1511220090111006,,,,,1336,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111006,8,40165,03/03/2025
,,200916128301we,151122009011112721,2009,5,36,81,12,127,21,1,3,1,1,4,0,50,9,2,2,0,6,0,0,,,1511220090111007,6,1,1,,,,O,,1511220090111,,01,we,1511220090111007,2,6,0,QUEENS,1410,0,0,1,1,1,2,2,2,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111007,8,11372,03/03/2025
,,200916128301we,151122009011112721,2009,5,36,81,12,127,21,1,3,1,1,4,,0,0,2,0,0,0,1,0,,,1511220090111008,6,1,3,,,,O,,1511220090111,,01,we,1511220090111007,,,,QUEENS,1411,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111007,8,11372,03/03/2025
,,200916128301we,151122009011112721,2009,6,45,45,12,127,21,1,3,1,1,4,,7,0,1,1,0,0,0,0,,,1511220090111009,6,1,2,,,,O,,1511220090111,,01,we,1511220090111009,,,,,1432,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111009,8,29656,03/03/2025
,,200916128301we,151122009011112721,2009,6,45,45,12,127,21,1,3,1,1,4,,0,0,1,1,0,0,0,0,,,1511220090111010,6,1,2,,,,O,,1511220090111,,01,we,1511220090111010,,,,,1433,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111010,8,29654,03/03/2025
,,200916128301we,151122009011112721,2009,6,45,45,12,127,21,1,3,1,1,4,0,0,0,1,1,1,0,0,0,,,1511220090111011,6,1,2,,,,O,,1511220090111,,01,we,1511220090111011,2,,,,1434,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111011,8,29654,03/03/2025
,,200916128301we,151122009011112721,2009,6,45,45,12,127,21,1,3,1,1,4,,0,0,1,1,0,0,0,0,,,1511220090111012,6,1,2,,,,O,,1511220090111,,01,we,1511220090111012,,,,,1435,0,0,1,1,1,8,1,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111012,8,29654,03/03/2025
,,200916128301we,151122009011112721,2009,6,45,45,12,127,21,1,3,1,1,4,,0,0,1,1,0,0,0,0,,,1511220090111013,6,1,2,,,,O,,1511220090111,,01,we,1511220090111013,,,,,1436,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111013,8,29654,03/03/2025
,,200916128301we,151122009011112721,2009,6,45,45,12,127,21,1,3,1,1,4,,0,0,1,1,0,0,0,0,,,1511220090111014,6,1,2,,,,O,,1511220090111,,01,we,1511220090111014,,,,,1437,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111014,8,29654,03/03/2025
,,200916128301we,151122009011112721,2009,4,23,29,12,127,21,1,3,1,1,3.5,,0,0,1,1,0,0,0,0,,,1511220090111015,6,1,2,,,,O,,1511220090111,,01,we,1511220090111015,,,,WASHINGTON,1536,0,0,1,1,1,8,1,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111015,8,04622,03/03/2025
,,200916128301we,151122009011112721,2009,4,23,29,12,127,21,1,3,1,1,3.5,,0,0,1,1,0,0,0,0,,,1511220090111016,6,1,2,,,,O,,1511220090111,,01,we,1511220090111016,,,,WASHINGTON,1537,0,0,1,1,1,8,2,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111016,8,04622,03/03/2025
,,200916128301we,151122009011112721,2009,5,42,79,12,127,21,1,3,1,1,4,,10,10,1,1,0,0,0,0,,,1511220090111017,6,1,2,,,,O,,1511220090111,,01,we,1511220090111017,,,,,1723,0,0,1,1,1,8,1,8,,2,,20FEB200908:17,1,,,,,,,,,,,,,,,22603.446287,200916128301we,,0,1511220090111017,8,18219,03/03/2025
,KINGFISH GENUS,200916128302wd,1511220090206127295,2009,4,33,13,12,127,295,5,3,1,1,2,0,20,20,1,1,2,0,0,0,,,1511220090206001,6,1,2,,,,O,,1511220090206,,02,wd,1511220090206001,2,,,MERRIMACK,1040,169273,0,1,1,1,8,1,8,,1,,20MAR200913:40,1,8835440600,,,,,,,,,,,,,,12155.553117,200916128302wd,,0,1511220090206001,8,03301,03/03/2025
