PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,KINGFISH GENUS,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,13,4,1,1,1,0,0,0,,,1511220110120001,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120001,2,,,VOLUSIA,169273,,1030,1,1,1,8,1,8,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120001,8,32174,03/03/2025
,,201116128301wd,1511220110120127295,2011,5,36,75,12,127,295,5,3,1,1,2,0,12,3,1,1,1,0,0,0,,,1511220110120002,6,1,2,,,,O,,1511220110120,,01,wd,1511220110120002,2,,,,,,1038,1,1,1,8,1,8,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,19244.48148,201116128301wd,,0,1511220110120002,8,99998,03/03/2025
,KINGFISH GENUS,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,998,0,2,1,1,0,0,0,,,1511220110120003,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120003,2,,,VOLUSIA,169273,,1120,1,1,1,8,1,8,,,2,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120003,8,32141,03/03/2025
,KINGFISH GENUS,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,144,24,1,1,1,0,0,0,,,1511220110120004,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120004,2,,,VOLUSIA,169273,,1121,1,1,1,8,1,8,,,2,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120004,8,32132,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,201116128301wd,1511220110120127295,2011,6,12,35,12,127,295,5,3,1,1,3,0,250,5,1,1,1,0,0,0,,,1511220110120005,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120005,2,,,FLAGLER,168708,169273,1127,1,1,1,8,1,8,,,2,18FEB201113:29,1,8835280901,8835440600,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120005,8,32137,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,201116128301wd,1511220110120127295,2011,6,12,35,12,127,295,5,3,1,1,3,0,5,5,1,1,0,0,0,0,,,1511220110120006,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120006,,,,FLAGLER,168708,169273,1122,1,1,1,8,2,8,,,1,18FEB201113:29,1,8835280901,8835440600,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120006,8,32137,03/03/2025
,,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,1,1,2,1,0,0,0,0,,,1511220110120007,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120007,,,,VOLUSIA,,,1132,1,1,1,8,1,8,,,2,18FEB201113:29,1,,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120007,8,32141,03/03/2025
,,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,1,1,1,1,0,0,0,0,,,1511220110120008,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120008,,,,VOLUSIA,,,1133,1,1,1,8,2,8,,,2,18FEB201113:29,1,,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120008,8,32141,03/03/2025
,FLORIDA POMPANO,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,15,10,1,1,0,5,0,0,,,1511220110120009,6,1,1,,,,Y,,1511220110120,,01,wd,1511220110120009,2,5,0,VOLUSIA,168708,,1153,1,1,1,8,1,1,,,2,18FEB201113:29,1,8835280901,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120009,8,32169,03/03/2025
,,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3.5,0,998,6,2,1,1,0,0,0,,,1511220110120010,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120010,2,0,1,VOLUSIA,,,1210,1,1,1,8,1,8,,,2,18FEB201113:29,1,,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120010,8,32169,03/03/2025
