PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,WINTER FLOUNDER,20112498304wd,117122011040811679,2011,4,9,11,9,11,679,5,3,C,5,2,0,6,0,2,1,0,0,0,0,,,1171220110408001,4,2,2,,0,0,Y,,1171220110408,1,04,wd,1171220110408001,,,,NEW LONDON,1130,172904,,,1,1,8,1,8,,,,20110729,8,8857042001,,5,,8,,,,,,,,,,6748.0053914,20112498304wd,,0,1171220110408001,8,06340,03/03/2025
STRIPED BASS,WINTER FLOUNDER,20112498304we,117122011040911666,2011,4,9,11,9,11,666,2,3,C,5,6,,0,0,1,1,0,0,0,0,,,1171220110409001,4,2,2,,0,0,Y,,1171220110409,1,04,we,1171220110409001,,,,NEW LONDON,1200,172904,167680,,1,1,8,2,8,,,,20110729,8,8857042001,8835020102,2,,8,,,,,,,,,,2087.6259333,20112498304we,,0,1171220110409001,8,06320,03/03/2025
,TAUTOG,20112498304we,11712201104169218,2011,4,9,9,9,9,218,1,3,C,5,0.5,,10,0,1,1,0,0,0,0,,,1171220110416001,4,2,2,,0,0,Y,,1171220110416,1,04,we,1171220110416001,,,,NEW HAVEN,1240,170479,,,1,1,8,1,8,,,,20110729,8,8839010101,,0,,8,,,,,,,,,,14656.107956,20112498304we,,0,1171220110416001,8,06515,03/03/2025
,TAUTOG,20112498304we,11712201104169218,2011,4,9,9,9,9,218,1,3,C,5,0.5,,10,0,1,1,0,0,0,0,,,1171220110416002,4,2,2,,0,0,Y,,1171220110416,1,04,we,1171220110416002,,,,NEW HAVEN,1241,170479,,,1,1,8,2,8,,,,20110729,8,8839010101,,0,,8,,,,,,,,,,14656.107956,20112498304we,,0,1171220110416002,8,06515,03/03/2025
,,20112498304we,11712201104169218,2011,4,9,9,9,9,218,1,3,C,5,1,,0,0,2,1,0,0,0,0,,,1171220110416003,4,2,2,,0,0,Y,,1171220110416,1,04,we,1171220110416003,,,,NEW HAVEN,1245,,,,1,1,8,1,8,,,,20110729,8,,,0,,8,,,,,,,,,,14656.107956,20112498304we,,0,1171220110416003,8,06770,03/03/2025
,,20112498304we,11712201104169218,2011,4,9,9,9,9,218,1,3,C,5,1,,0,0,2,1,0,0,0,0,,,1171220110416004,4,2,2,,0,0,Y,,1171220110416,1,04,we,1171220110416004,,,,NEW HAVEN,1246,,,,1,1,8,1,8,,,,20110729,8,,,0,,8,,,,,,,,,,14656.107956,20112498304we,,0,1171220110416004,8,06770,03/03/2025
,STRIPED BASS,20112498304we,117122011042311604,2011,4,9,3,9,11,604,1,3,C,5,0.5,,70,0,1,1,0,0,0,0,,,1171220110423001,4,2,2,,0,0,Y,,1171220110423,1,04,we,1171220110423001,,,,HARTFORD,935,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,0,,8,,,,,,,,,,10522.402337,20112498304we,,0,1171220110423001,8,06082,03/03/2025
,STRIPED BASS,20112498304we,117122011042311604,2011,4,9,13,9,11,604,1,3,C,5,3,,0,0,2,1,0,0,0,0,,,1171220110423002,4,2,2,,0,0,Y,,1171220110423,1,04,we,1171220110423002,,,,TOLLAND,945,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,0,,8,,,,,,,,,,10522.402337,20112498304we,,0,1171220110423002,8,06076,03/03/2025
,STRIPED BASS,20112498304we,117122011042311604,2011,4,9,13,9,11,604,1,3,C,5,3,,0,0,2,1,0,0,0,0,,,1171220110423003,4,2,2,,0,0,Y,,1171220110423,1,04,we,1171220110423003,,,,TOLLAND,946,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,0,,8,,,,,,,,,,10522.402337,20112498304we,,0,1171220110423003,8,06076,03/03/2025
,STRIPED BASS,20112498304we,117122011042311604,2011,4,9,13,9,11,604,1,3,C,5,3,,0,0,2,1,0,0,0,0,,,1171220110423004,4,2,2,,0,0,Y,,1171220110423,1,04,we,1171220110423004,,,,TOLLAND,947,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,0,,8,,,,,,,,,,10522.402337,20112498304we,,0,1171220110423004,8,06076,03/03/2025
