PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MODE2001,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
STRIPED BASS,HICKORY SHAD,20116498311wd,117122011111511604,2011,4,9,11,9,11,604,1,3,3,5,1,,90,15,1,1,0,0,0,0,,,1171220111115001,4,6,2,,0,0,Y,,1171220111115,1,11,wd,1171220111115001,,,,NEW LONDON,161704,167680,1300,,1,1,8,1,8,,,,26MAR201214:26,8,8747010103,8835020102,,8,,,,,,,,0,,,56906.286802,20116498311wd,,0,1171220111115001,8,06033,03/03/2025
,ATLANTIC TOMCOD,20116498311wd,117122011111511604,2011,4,9,11,9,11,604,1,3,3,5,1,,30,7,1,1,0,0,0,0,,,1171220111115002,4,6,2,,0,0,Y,,1171220111115,1,11,wd,1171220111115002,,,,NEW LONDON,164720,,1301,,1,1,8,1,8,,,,26MAR201214:26,8,8791030602,,,8,,,,,,,,1,,,56906.286802,20116498311wd,,0,1171220111115002,8,06333,03/03/2025
,,20116498499xx,20116498499xx0000,2011,,,,9,,,,4,,5,,,,,,,,,,,,,20116498499xx005,4,6,,,,,,,,,99,xx,20116498499xx005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,0,20116498499xx005,8,,03/03/2025
,,20116498599xx,20116498599xx0000,2011,,,,9,,,,5,,1,,,,,,,,,,,,,20116498599xx001,4,6,,,,,,,,,99,xx,20116498599xx001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.858849364,,,0,20116498599xx001,8,,03/03/2025
,,20116498599xx,20116498599xx0000,2011,,,,9,,,,5,,5,,,,,,,,,,,,,20116498599xx005,4,6,,,,,,,,,99,xx,20116498599xx005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.73959891,,,0,20116498599xx005,8,,03/03/2025
BLUEFISH,STRIPED BASS,20116498711wd,11712201111037825,2011,4,25,11,9,7,825,8,7,C,5,3,,4,2,1,1,0,0,0,0,1,8,1171220111103001,4,6,2,,0,4,O,,1171220111103,3,11,wd,1171220111103001,,,,,167680,168559,1115,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,8835250101,,8,,,,,,,,8,,,7057.3953821,20116498711wd,,0,1171220111103001,8,01301,03/03/2025
,STRIPED BASS,20116498711wd,11712201111037446,2011,4,9,7,9,7,446,8,7,C,5,2,0,20,8,1,1,1,0,0,0,2,1,1171220111103002,4,6,2,,0,3,Y,,1171220111103,3,11,wd,1171220111103002,1,,,MIDDLESEX,167680,,1600,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,8,,,42572.840528,20116498711wd,,0,1171220111103002,8,06475,03/03/2025
,STRIPED BASS,20116498711wd,11712201111037446,2011,4,9,11,9,7,446,8,7,C,5,2,0,6,2,2,1,1,0,0,1,2,2,1171220111103003,4,6,2,,0,3,Y,,1171220111103,3,11,wd,1171220111103002,1,,,NEW LONDON,167680,,1601,,1,1,8,2,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,8,,,42572.840528,20116498711wd,,0,1171220111103003,8,06379,03/03/2025
BLUEFISH,STRIPED BASS,20116498711wd,117122011110811737,2011,4,9,3,9,11,737,8,7,C,5,5,0,50,10,1,1,2,0,0,0,2,1,1171220111108001,4,6,2,,0,6,Y,,1171220111108,3,11,wd,1171220111108001,1,,,HARTFORD,167680,168559,1215,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,8835250101,,8,,,,,,,,8,,,12417.078487,20116498711wd,,0,1171220111108001,8,06088,03/03/2025
BLUEFISH,STRIPED BASS,20116498711wd,117122011110811737,2011,4,9,3,9,11,737,8,7,C,5,5,0,50,10,1,1,1,0,0,1,2,2,1171220111108002,4,6,2,,0,6,Y,,1171220111108,3,11,wd,1171220111108001,1,,,HARTFORD,167680,168559,1216,,1,1,8,2,8,,,,26MAR201214:26,8,8835020102,8835250101,,8,,,,,,,,8,,,12417.078487,20116498711wd,,0,1171220111108002,8,06088,03/03/2025
,STRIPED BASS,20116498711wd,117122011110811737,2011,4,9,5,9,11,737,8,7,C,5,0.5,,100,40,1,1,0,0,0,0,1,8,1171220111108003,4,6,2,,0,5,Y,,1171220111108,3,11,wd,1171220111108003,,,,LITCHFIELD,167680,,1300,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,8,,,12417.078487,20116498711wd,,0,1171220111108003,8,06793,03/03/2025
