PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,MONITOR,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,TAUTOG,20126498311wd,117152012111411828,2012,4,9,7,9,11,828,2,3,C,5,3,,15,6,1,1,0,0,0,0,,,1171520121114001,4,6,2,,0,0,Y,,1171520121114,1,11,wd,1171520121114001,,,,MIDDLESEX,170479,,1155,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,2,8,,,,18434.87577,20126498311wd,,0,1171520121114001,8,06424,03/03/2025
,STRIPED BASS,20126498311wd,117152012111511604,2012,4,9,7,9,11,604,1,3,C,5,5,0,100,30,1,1,2,0,0,0,,,1171520121115001,4,6,2,,0,0,Y,,1171520121115,1,11,wd,1171520121115001,1,,,MIDDLESEX,167680,,1350,,1,1,8,1,8,,,,29MAR201315:43,8,8835020102,,0,8,,,,3555.2230481,20126498311wd,,0,1171520121115001,8,06441,03/03/2025
,STRIPED BASS,20126498311wd,117152012111511604,2012,4,9,3,9,11,604,1,3,C,5,5,0,30,4,1,1,1,0,0,0,,,1171520121115002,4,6,2,,0,0,Y,,1171520121115,1,11,wd,1171520121115002,1,,,HARTFORD,167680,,1400,,1,1,8,1,8,,,,29MAR201315:43,8,8835020102,,0,8,,,,3555.2230481,20126498311wd,,0,1171520121115002,8,06447,03/03/2025
,,20126498312wd,117152012120311754,2012,4,9,15,9,11,754,1,3,C,5,4,0,2,2,1,1,1,0,0,0,,,1171520121203001,4,6,2,,0,0,Y,,1171520121203,1,12,wd,1171520121203001,1,,,WINDHAM,,,1000,,1,1,8,1,8,,,,29MAR201315:43,8,,,1,8,,,,12070.405661,20126498312wd,,0,1171520121203001,8,06354,03/03/2025
,,20126498312wd,117152012120311754,2012,4,9,15,9,11,754,1,3,C,5,4,,2,2,1,1,0,0,0,0,,,1171520121203002,4,6,2,,0,0,Y,,1171520121203,1,12,wd,1171520121203002,,,,WINDHAM,,,1001,,1,1,8,1,8,,,,29MAR201315:43,8,,,1,8,,,,12070.405661,20126498312wd,,0,1171520121203002,8,06257,03/03/2025
,STRIPED BASS,20126498312wd,117152012120311754,2012,4,9,7,9,11,754,1,3,C,5,0.5,,20,4,1,1,0,0,0,0,,,1171520121203003,4,6,2,,0,0,Y,,1171520121203,1,12,wd,1171520121203003,,,,MIDDLESEX,167680,,1140,,1,1,8,0,8,,,,29MAR201315:43,8,8835020102,,1,8,,,,12070.405661,20126498312wd,,0,1171520121203003,8,06480,03/03/2025
,,20126498312we,117152012120911754,2012,4,9,11,9,11,754,1,3,C,5,1,,120,20,2,1,0,0,0,0,,,1171520121209001,4,6,2,,0,0,Y,,1171520121209,1,12,we,1171520121209001,,,,NEW LONDON,,,1049,,1,1,8,0,8,,,,29MAR201315:43,8,,,1,8,,,,1033.3292165,20126498312we,,0,1171520121209001,8,06360,03/03/2025
,ATLANTIC HERRING,20126498312wd,1171520121211189,2012,4,9,1,9,1,89,2,3,C,5,0.5,,150,20,1,1,0,0,0,0,,,1171520121211001,4,6,2,,0,0,Y,,1171520121211,1,12,wd,1171520121211001,,,,FAIRFIELD,161722,,1115,,1,1,8,0,8,,,,29MAR201315:43,8,8747010201,,2,8,,,,31208.13653,20126498312wd,,0,1171520121211001,8,06824,03/03/2025
,,20126498311wd,1171620121129189,2012,4,9,1,9,1,89,2,3,C,5,0.5,,35,5,1,1,0,0,0,0,,,1171620121129001,4,6,2,,0,0,Y,,1171620121129,1,11,wd,1171620121129001,,,,FAIRFIELD,,,1116,,1,1,8,0,8,,,,29MAR201315:43,8,,,2,8,,,,22941.27441,20126498311wd,,0,1171620121129001,8,06825,03/03/2025
,WHITE PERCH,20126498312wd,117162012120411604,2012,4,9,9,9,11,604,1,3,C,5,0.5,,4,2,1,1,0,0,0,0,,,1171620121204001,4,6,2,,0,0,Y,,1171620121204,1,12,wd,1171620121204001,,,,NEW HAVEN,167678,,1128,,1,1,8,1,8,,,,29MAR201315:43,8,8835020101,,1,8,,,,15330.816362,20126498312wd,,0,1171620121204001,8,06451,03/03/2025
,WHITE PERCH,20126498312wd,117162012120411604,2012,4,9,9,9,11,604,1,3,C,5,0.5,,4,2,1,1,0,0,0,0,,,1171620121204002,4,6,2,,0,0,Y,,1171620121204,1,12,wd,1171620121204002,,,,NEW HAVEN,167678,,1129,,1,1,8,0,8,,,,29MAR201315:43,8,8835020101,,1,8,,,,15330.816362,20126498312wd,,0,1171620121204002,8,06451,03/03/2025
STRIPED BASS,WHITE PERCH,20126498312wd,117162012120711754,2012,4,9,11,9,11,754,1,3,C,5,1,,80,30,1,1,0,0,0,0,,,1171620121207001,4,6,2,,0,0,Y,,1171620121207,1,12,wd,1171620121207001,,,,NEW LONDON,167678,167680,1100,,1,1,8,1,8,,,,29MAR201315:43,8,8835020101,8835020102,1,8,,,,12673.925944,20126498312wd,,0,1171620121207001,8,06351,03/03/2025
,,20126498599xx,20126498599xx0000,2012,,,,9,,,,5,,2,,,,,,,,,,,,,20126498599xx002,4,6,,,,,,,,,99,xx,20126498599xx002,,,,,,,,,,,,,,,,,,,,,,,,,,102.2554213,,,0,20126498599xx002,8,,03/03/2025
,,20126498599xx,20126498599xx0000,2012,,,,9,,,,5,,5,,,,,,,,,,,,,20126498599xx005,4,6,,,,,,,,,99,xx,20126498599xx005,,,,,,,,,,,,,,,,,,,,,,,,,,235.06993403,,,0,20126498599xx005,8,,03/03/2025
,STRIPED BASS,20126498711wd,11712201211027825,2012,4,9,7,9,7,825,8,7,C,5,1,,60,60,1,1,0,0,0,0,1,8,1171220121102001,4,6,2,,0,1,Y,,1171220121102,3,11,wd,1171220121102001,,,,MIDDLESEX,167680,,1100,,1,1,8,1,8,,,,29MAR201315:43,8,8835020102,,8,8,,,,8061.6668498,20126498711wd,,0,1171220121102001,8,06498,03/03/2025
,TAUTOG,20126498711we,117122012110411737,2012,4,9,11,9,11,737,8,7,C,5,2,0,20,15,1,2,1,2,0,0,2,1,1171220121104001,4,6,1,,0,2.5,Y,,1171220121104,3,11,we,1171220121104001,1,8,0,NEW LONDON,170479,,1045,,1,1,2,1,2,,,,29MAR201315:43,8,8839010101,,8,8,,,,4263.665115,20126498711we,,0,1171220121104001,8,06779,03/03/2025
