PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,TELEFON,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,DATE1,DIST,PRIM1,PRIM2,MODE2001,MONITOR,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,,201316128301wd,151122013011135163,2013,0,99,998,12,35,163,1,3,1,1,5,0,6,6,1,3,0,0,0,,,1511220130111001,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111001,2,,,,,,1109,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111001,8,99997,03/03/2025
,BLACK DRUM,201316128301wd,151122013011135163,2013,0,17,35,12,35,163,1,3,1,1,4,0,100,8,1,1,0,0,0,,,1511220130111002,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111002,2,,,,169288,,1133,1,1,1,8,1,8,,,20FEB201311:19,1,8835440801,,,,,,,4188.5984492,201316128301wd,,0,1511220130111002,8,99998,03/03/2025
,KINGFISH GENUS,201316128301wd,151122013011135163,2013,6,12,69,12,35,163,1,3,1,1,6,0,2,2,1,2,19,0,0,,,1511220130111003,6,1,1,,,,,Y,,1511220130111,,01,wd,1511220130111003,2,,,LAKE,169273,,1251,1,1,1,8,2,1,,,20FEB201311:19,1,8835440600,,,,,,,4481.320405,201316128301wd,,0,1511220130111003,8,99998,03/03/2025
,,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,1,0,40,4,1,1,0,0,0,,,1511220130111004,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111004,2,,,FLAGLER,,,1252,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4481.320405,201316128301wd,,0,1511220130111004,8,32136,03/03/2025
,,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,5,0,200,45,1,1,0,0,0,,,1511220130111005,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111005,2,,,FLAGLER,,,1255,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4481.320405,201316128301wd,,0,1511220130111005,8,32137,03/03/2025
,KINGFISH GENUS,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,6,0,150,24,1,4,0,0,0,,,1511220130111006,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111006,2,,,FLAGLER,169273,,1300,1,1,1,8,1,8,,,20FEB201311:19,1,8835440600,,,,,,,4481.320405,201316128301wd,,0,1511220130111006,8,32137,03/03/2025
,KINGFISH GENUS,201316128301wd,151122013011135163,2013,0,17,119,12,35,163,1,3,1,1,6,0,1,1,1,3,0,0,0,,,1511220130111007,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111007,2,,,,169273,,1309,1,1,1,8,2,8,,,20FEB201311:19,1,8835440600,,,,,,,4188.5984492,201316128301wd,,0,1511220130111007,8,62294,03/03/2025
,,201316128301wd,151122013011135163,2013,5,36,9,12,35,163,1,3,1,1,3.5,,3,3,1,0,0,0,0,,,1511220130111008,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111008,,,,,,,1330,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111008,8,14779,03/03/2025
,,201316128301wd,151122013011135163,2013,5,36,9,12,35,163,1,3,1,1,3.5,0,2,2,1,2,0,0,0,,,1511220130111009,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111009,2,,,,,,1331,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111009,8,14779,03/03/2025
,,201316128301wd,151122013011135163,2013,0,39,17,12,35,163,1,3,1,1,3.5,,1,1,1,0,0,0,0,,,1511220130111010,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111010,,,,,,,1407,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111010,8,45067,03/03/2025
,,201316128301wd,151122013011135163,2013,7,12,1,12,35,163,1,3,1,1,4,,5,0,1,0,0,0,0,,,1511220130111011,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111011,,,,ALACHUA,,,1423,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111011,8,32615,03/03/2025
,,201316128301wd,151122013011135163,2013,7,12,1,12,35,163,1,3,1,1,4,0,5,0,1,1,0,0,0,,,1511220130111012,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111012,2,,,ALACHUA,,,1424,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111012,8,32615,03/03/2025
,,201316128301wd,151122013011135163,2013,7,12,1,12,35,163,1,3,1,1,4,0,5,0,1,1,0,0,0,,,1511220130111013,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111013,2,,,ALACHUA,,,1425,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111013,8,32615,03/03/2025
,,201316128301wd,151122013011135163,2013,7,12,83,12,35,163,1,3,1,1,1.5,,20,6,1,0,0,0,0,,,1511220130111014,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111014,,,,MARION,,,1454,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111014,8,34472,03/03/2025
RED DRUM,KINGFISH GENUS,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,4,,20,3,1,0,0,0,0,,,1511220130111015,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111015,,,,FLAGLER,169273,169290,1521,1,1,1,8,1,8,,,20FEB201311:19,1,8835440600,8835440901,,,,,,4481.320405,201316128301wd,,0,1511220130111015,8,32137,03/03/2025
,,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,4.5,,60,0,1,0,0,0,0,,,1511220130111016,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111016,,,,FLAGLER,,,1539,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,4481.320405,201316128301wd,,0,1511220130111016,8,99998,03/03/2025
,,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,4,0,75,12,1,3,0,0,0,,,1511220130111017,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111017,2,,,FLAGLER,,,1544,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4481.320405,201316128301wd,,0,1511220130111017,8,32136,03/03/2025
,KINGFISH GENUS,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,5,0,100,20,1,3,0,0,0,,,1511220130111018,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111018,2,,,FLAGLER,169273,,1550,1,1,1,8,2,8,,,20FEB201311:19,1,8835440600,,,,,,,4481.320405,201316128301wd,,0,1511220130111018,8,32136,03/03/2025
,,201316128301wd,151122013011135163,2013,5,36,61,12,35,163,1,3,1,1,2,0,5,5,1,1,0,0,0,,,1511220130111019,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111019,2,,,NEW YORK,,,1601,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111019,8,10128,03/03/2025
,,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,2,,200,30,1,0,0,0,0,,,1511220130111020,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111020,,,,FLAGLER,,,1602,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4481.320405,201316128301wd,,0,1511220130111020,8,32136,03/03/2025
,,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,4,0,3,0,1,1,0,0,0,,,1511220130111021,6,1,2,,,,,Y,,1511220130111,,01,wd,1511220130111021,2,,,FLAGLER,,,1655,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4481.320405,201316128301wd,,0,1511220130111021,8,32164,03/03/2025
,,201316128301wd,151122013011135163,2013,0,29,77,12,35,163,1,3,1,1,4,0,10,10,1,3,0,0,0,,,1511220130111022,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111022,2,,,,,,1722,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111022,8,99998,03/03/2025
,,201316128301wd,151122013011135163,2013,6,12,35,12,35,163,1,3,1,1,9,0,45,15,1,1,5,0,0,,,1511220130111023,6,1,1,,,,,Y,,1511220130111,,01,wd,1511220130111023,2,,,FLAGLER,,,1727,1,1,1,8,1,1,,,20FEB201311:19,1,,,,,,,,4481.320405,201316128301wd,,0,1511220130111023,8,32164,03/03/2025
,,201316128301wd,151122013011135163,2013,6,13,223,12,35,163,1,3,1,1,3,0,0,0,1,0,2,0,0,,,1511220130111024,6,1,1,,,,,O,,1511220130111,,01,wd,1511220130111024,2,2,0,,,,1741,1,1,1,8,2,1,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111024,8,30141,03/03/2025
,,201316128301wd,151122013011135163,2013,6,13,223,12,35,163,1,3,1,1,3,,0,0,1,0,0,0,0,,,1511220130111025,6,1,2,,,,,O,,1511220130111,,01,wd,1511220130111025,,,,,,,1747,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,4188.5984492,201316128301wd,,0,1511220130111025,8,30141,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,4,0,24,6,1,4,0,0,0,,,1511220130127001,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127001,2,,,FLAGLER,,,956,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127001,8,32164,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,4,0,24,6,1,2,0,0,0,,,1511220130127002,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127002,2,,,FLAGLER,,,957,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127002,8,32164,03/03/2025
SHEEPSHEAD,BLACK DRUM,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,3.5,0,50,15,1,2,0,0,0,,,1511220130127003,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127003,2,,,FLAGLER,169288,169189,1028,1,1,1,8,2,8,,,20FEB201311:19,1,8835440801,8835430301,,,,,,17459.943208,201316128301we,,0,1511220130127003,8,32137,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,2,0,7,3,1,1,0,0,0,,,1511220130127004,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127004,2,,,FLAGLER,,,1110,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127004,8,32164,03/03/2025
,KINGFISH GENUS,201316128301we,151122013012735163,2013,0,99,998,12,35,163,1,3,1,1,5,0,30,1,1,2,0,0,0,,,1511220130127005,6,1,2,,,,,O,,1511220130127,,01,we,1511220130127005,2,,,,169273,,1137,1,1,1,8,2,8,,,20FEB201311:19,1,8835440600,,,,,,,16125.301313,201316128301we,,0,1511220130127005,8,99997,03/03/2025
