PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,TELEFON,COASTAL,NEW_LIST,KOD,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,MONTH,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,DATE1,DIST,PRIM1,PRIM2,AREA_NC,MODE2001,MONITOR,TOURN,TURTLE,AGE,SEX,ART_REEF,REEFCODE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,FSHINSP_A,NUM_FISH_A,ZIP,DATE_PUBLISHED
,STRIPED BASS,201403913weS:8AM-8PM,201429131729620140328,2014,4,9,11,9,11,754,1,3,C,5,2,,6,0,1,0,0,0,0,,8,1729620140328001,4,2,2,,0,0,,Y,,we,1729620140328,1,1729620140328001,,1,S:8AM-8PM,03,NEW LONDON,1346,167680,,,1,1,8,0,8,20MAR201511:27,8,8835020102,,,1,8,,,,,,,,,0,201403913weS:8AM-8PM,,0,1729620140328001,8,,,06363,03/03/2025
,STRIPED BASS,201403913weS:8AM-8PM,201429131729620140328,2014,4,9,11,9,11,754,1,3,C,5,2,,10,0,1,0,0,0,0,,8,1729620140328002,4,2,2,,0,0,,Y,,we,1729620140328,1,1729620140328002,,1,S:8AM-8PM,03,NEW LONDON,1351,167680,,,1,1,8,0,8,20MAR201511:27,8,8835020102,,,1,8,,,,,,,,,0,201403913weS:8AM-8PM,,0,1729620140328002,8,,,06365,03/03/2025
,STRIPED BASS,201404913weS:8AM-8PM,201429131729620140418,2014,4,9,11,9,11,679,5,3,C,5,2,,5,0,1,0,0,0,0,,8,1729620140418001,4,2,2,,0,0,,Y,,we,1729620140418,1,1729620140418001,,1,S:8AM-8PM,04,NEW LONDON,1641,167680,,,1,1,8,0,8,20MAR201511:27,8,8835020102,,,5,8,,,,,,,,,0,201404913weS:8AM-8PM,,0,1729620140418001,8,,,06340,03/03/2025
,WINTER FLOUNDER,201404913weS:8AM-8PM,201429131730420140412,2014,4,9,7,9,11,885,1,3,C,5,0.5,,3,0,1,0,0,0,0,,8,1730420140412001,4,2,2,,0,0,,Y,,we,1730420140412,1,1730420140412001,,1,S:8AM-8PM,04,MIDDLESEX,1155,172904,,,1,1,8,1,8,20MAR201511:27,8,8857042001,,,0,8,,,,,,,,,0,201404913weS:8AM-8PM,,0,1730420140412001,8,,,06457,03/03/2025
WINTER FLOUNDER,STRIPED BASS,201404913weS:8AM-8PM,201429131730420140413,2014,4,9,3,9,11,679,5,3,C,5,0.5,2,10,5,1,0,0,0,0,,8,1730420140413001,4,2,2,,0,0,,Y,,we,1730420140413,1,1730420140413001,,1,S:8AM-8PM,04,HARTFORD,1109,167680,172904,,1,1,8,1,8,20MAR201511:27,8,8835020102,8857042001,,5,8,,,,,,,,,0,201404913weS:8AM-8PM,,0,1730420140413001,8,,,06118,03/03/2025
WINTER FLOUNDER,STRIPED BASS,201404913weS:8AM-8PM,201429131741320140427,2014,4,9,1,9,1,23,2,3,C,5,3,,85,2,1,0,0,0,0,,8,1741320140427001,4,2,2,,0,0,,Y,,we,1741320140427,1,1741320140427001,,1,S:8AM-8PM,04,FAIRFIELD,1354,167680,172904,,1,1,8,1,8,20MAR201511:27,8,8835020102,8857042001,,2,8,,,,,,,,,0,201404913weS:8AM-8PM,,0,1741320140427001,8,,,06902,03/03/2025
,STRIPED BASS,201404913weS:8AM-8PM,201429131741320140427,2014,4,9,1,9,1,23,5,3,C,5,2,,50,4,1,0,0,0,0,,8,1741320140427002,4,2,2,,0,0,,Y,,we,1741320140427,1,1741320140427002,,1,S:8AM-8PM,04,FAIRFIELD,1317,167680,,,1,1,8,1,8,20MAR201511:27,8,8835020102,,,5,8,,,,,,,,,0,201404913weS:8AM-8PM,,0,1741320140427002,8,,,06902,03/03/2025
,STRIPED BASS,201404913weS:8AM-8PM,201429131741320140427,2014,4,9,1,9,1,25,4,3,C,5,0.5,,10,3,1,0,0,0,0,,8,1741320140427003,4,2,2,,0,0,,Y,,we,1741320140427,1,1741320140427003,,1,S:8AM-8PM,04,FAIRFIELD,1436,167680,,,1,1,8,1,8,20MAR201511:27,8,8835020102,,,4,8,,,,,,,,,0,201404913weS:8AM-8PM,,0,1741320140427003,8,,,06903,03/03/2025
,STRIPED BASS,201403917weS:8AM-8PM,201429171729620140322,2014,4,9,11,9,11,754,8,7,3,5,3,,100,1,1,0,0,0,0,1,8,1729620140322001,4,2,2,,0,4,,Y,,we,1729620140322,3,1729620140322001,,1,S:8AM-8PM,03,NEW LONDON,1231,167680,,,1,1,8,0,8,20MAR201511:27,8,8835020102,,,8,8,,,,,,,,,27531.068536,201403917weS:8AM-8PM,,0,1729620140322001,8,,,06340,03/03/2025
,STRIPED BASS,201403917weS:8AM-8PM,201429171729620140322,2014,4,9,11,9,11,754,8,7,3,5,3,,100,1,1,0,0,0,0,1,8,1729620140322002,4,2,2,,0,4,,Y,,we,1729620140322,3,1729620140322002,,1,S:8AM-8PM,03,NEW LONDON,1239,167680,,,1,1,8,0,8,20MAR201511:27,8,8835020102,,,8,8,,,,,,,,,27531.068536,201403917weS:8AM-8PM,,0,1729620140322002,8,,,06249,03/03/2025
