YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,KOD,SP_CODE,LNGTH,WGT,LNGTH_IMP,WGT_IMP,STRAT_ID,PSU_ID,COMMON,WGT_UNADJ,WP_SIZE,L_IN_BIN,L_CM_BIN,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
2017,9,3,5,1757820170422003,4,2,we,,,,0,0,201704913weS:8AM-8PM,201729131757820170422,,,55738.424811,,,201704913weS:8AM-8PM,,0,03/03/2025
2017,9,3,5,1757820170422004,4,2,we,,,,0,0,201704913weS:8AM-8PM,201729131757820170422,,,55738.424811,,,201704913weS:8AM-8PM,,0,03/03/2025
2017,9,3,5,1757820170422005,4,2,we,,,,0,0,201704913weS:8AM-8PM,201729131757820170422,,,55738.424811,,,201704913weS:8AM-8PM,,0,03/03/2025
2017,9,3,5,1757820170422006,4,2,we,8835020101,291,0.50,0,0,201704913weS:8AM-8PM,201729131757820170422,WHITE PERCH,,55738.424811,11,29,201704913weS:8AM-8PM,,0,03/03/2025
2017,9,3,5,1757820170422006,4,2,we,8835020101,312,0.65,0,0,201704913weS:8AM-8PM,201729131757820170422,WHITE PERCH,,55738.424811,12,31,201704913weS:8AM-8PM,,0,03/03/2025
2017,9,7,5,1748920170429001,4,2,we,8839010101,450,1.10,0,0,201704917weS:8AM-8PM,201729171748920170429,TAUTOG,,6515.3993131,17,45,201704917weS:8AM-8PM,,0,03/03/2025
2017,9,7,5,1748920170429001,4,2,we,8839010101,491,1.70,0,0,201704917weS:8AM-8PM,201729171748920170429,TAUTOG,,6515.3993131,19,49,201704917weS:8AM-8PM,,0,03/03/2025
2017,9,7,5,1748920170429002,4,2,we,,,,0,0,201704917weS:8AM-8PM,201729171748920170429,,,6353.3292159,,,201704917weS:8AM-8PM,,0,03/03/2025
2017,9,7,5,1748920170429003,4,2,we,,,,0,0,201704917weS:8AM-8PM,201729171748920170429,,,6353.3292159,,,201704917weS:8AM-8PM,,0,03/03/2025
2017,9,7,5,1757820170326003,4,2,we,,,,0,0,201703917weS:8AM-8PM,201729171757820170326,,,128.34705645,,,201703917weS:8AM-8PM,,0,03/03/2025
2017,9,7,5,1757820170422007,4,2,we,,,,0,0,201704917weS:8AM-8PM,201729171757820170422,,,19023.530454,,,201704917weS:8AM-8PM,,0,03/03/2025
2017,25,4,2,1767820170415001,4,2,we,8791031301,434,0.77,1,1,2017042504weHEAD-BOAT,2017225041767820170415,HADDOCK,,28.307401844,17,43,2017042504weHEAD-BOAT,,0,03/03/2025
2017,25,4,2,1767820170415001,4,2,we,8791031301,620,2.23,1,1,2017042504weHEAD-BOAT,2017225041767820170415,HADDOCK,,28.307401844,24,62,2017042504weHEAD-BOAT,,0,03/03/2025
2017,25,4,2,1767820170415001,4,2,we,8791031301,550,1.56,1,1,2017042504weHEAD-BOAT,2017225041767820170415,HADDOCK,,28.307401844,21,55,2017042504weHEAD-BOAT,,0,03/03/2025
2017,25,4,2,1767820170415001,4,2,we,8791031301,361,0.44,1,1,2017042504weHEAD-BOAT,2017225041767820170415,HADDOCK,,28.307401844,14,36,2017042504weHEAD-BOAT,,0,03/03/2025
