PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,NEW_LIST,KOD,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,MONTH,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,DATE1,DIST,PRIM1,PRIM2,MODE2001,TURTLE,SEX,REEFCODE,AGE,AREA_NC,ART_REEF,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,FSHINSP_A,NUM_FISH_A,ZIP,DATE_PUBLISHED
,STRIPED BASS,201712913weS:8AM-8PM,201769131166320171224,2017,4,9,9,9,9,4336,5,3,3,5,2.5,0.00,75,20,1,1,0,0,0,,,1166320171224004,4,6,2,,,,,Y,,we,1166320171224,3,1166320171224004,2,1,S:8AM-8PM,12,NEW HAVEN,1430,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,2082.9476292,201712913weS:8AM-8PM,,0,1166320171224004,8,,,06418,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131166320171224,2017,4,9,9,9,9,4336,5,3,3,5,2,0.00,15,2,1,0,0,0,0,,,1166320171224005,4,6,2,,,,,Y,,we,1166320171224,3,1166320171224005,,1,S:8AM-8PM,12,NEW HAVEN,1500,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,2133.3109171,201712913weS:8AM-8PM,,0,1166320171224005,8,,,06418,03/03/2025
,STRIPED BASS,201711913wdS:8AM-8PM,201769131748920171102,2017,4,9,1,9,1,4334,5,3,3,5,3,0.00,80,20,1,2,0,0,0,,,1748920171102001,4,6,2,,,,,Y,,wd,1748920171102,3,1748920171102001,2,1,S:8AM-8PM,11,FAIRFIELD,1425,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1923.5734552,201711913wdS:8AM-8PM,,0,1748920171102001,8,,,10684,03/03/2025
,CHANNEL CATFISH,201711913weS:8AM-8PM,201769131748920171103,2017,4,9,1,9,1,4334,5,3,3,5,3,0.00,20,15,1,1,0,0,0,,,1748920171103003,4,6,2,,,,,Y,,we,1748920171103,3,1748920171103003,2,1,S:8AM-8PM,11,FAIRFIELD,1526,163998,,,1,1,8,1,8,18JAN18:08:30,8,8777020105,,5,,0,,,,,,,1283.0352066,201711913weS:8AM-8PM,,0,1748920171103003,8,,,06606,03/03/2025
,CHANNEL CATFISH,201711913weS:8AM-8PM,201769131748920171103,2017,4,9,1,9,1,4334,5,3,3,5,3,0.00,10,10,1,1,0,0,0,,,1748920171103004,4,6,2,,,,,Y,,we,1748920171103,3,1748920171103004,2,1,S:8AM-8PM,11,FAIRFIELD,1532,163998,,,1,1,8,1,8,18JAN18:08:30,8,8777020105,,5,,0,,,,,,,1283.0352066,201711913weS:8AM-8PM,,0,1748920171103004,8,,,06607,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131748920171104,2017,4,9,1,9,1,4334,5,3,3,5,1,0.00,20,10,1,0,0,0,0,,,1748920171104001,4,6,2,,,,,Y,,we,1748920171104,3,1748920171104001,,1,S:8AM-8PM,11,FAIRFIELD,1333,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1373.0854787,201711913weS:8AM-8PM,,0,1748920171104001,8,,,06484,03/03/2025
WHITE PERCH,CHANNEL CATFISH,201711913weS:8AM-8PM,201769131748920171112,2017,4,9,1,9,1,4334,5,3,3,5,1,0.00,179,49,1,0,0,0,0,,,1748920171112003,4,6,2,,,,,Y,,we,1748920171112,3,1748920171112003,,1,S:8AM-8PM,11,FAIRFIELD,1414,163998,167678,,1,1,8,1,8,18JAN18:08:30,8,8777020105,8835020101,5,,0,,,,,,,1280.5317945,201711913weS:8AM-8PM,,0,1748920171112003,8,,,06615,03/03/2025
,,201711913weS:8AM-8PM,201769131748920171112,2017,4,9,1,9,1,4334,5,3,3,5,1,0.00,14,9,1,0,0,0,0,,,1748920171112004,4,6,2,,,,,Y,,we,1748920171112,3,1748920171112004,,1,S:8AM-8PM,11,FAIRFIELD,1519,,,,1,1,8,2,8,18JAN18:08:30,8,,,5,,0,,,,,,,1280.5317945,201711913weS:8AM-8PM,,0,1748920171112004,8,,,06614,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171201,2017,4,9,1,9,9,4336,5,3,3,5,2.5,0.00,40,8,1,0,0,0,0,,,1748920171201001,4,6,2,,,,,Y,,we,1748920171201,3,1748920171201001,,1,S:8AM-8PM,12,FAIRFIELD,1339,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,2622.9980224,201712913weS:8AM-8PM,,0,1748920171201001,8,,,06880,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171202,2017,4,9,1,9,1,4334,5,3,3,5,2,0.00,30,8,1,1,0,0,0,,,1748920171202012,4,6,2,,,,,Y,,we,1748920171202,3,1748920171202012,2,1,S:8AM-8PM,12,FAIRFIELD,1407,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1551.2991007,201712913weS:8AM-8PM,,0,1748920171202012,8,,,06611,03/03/2025
,,201712913weS:8AM-8PM,201769131748920171202,2017,4,9,1,9,1,4334,5,3,3,5,2,0.00,4,4,1,0,0,0,0,,,1748920171202013,4,6,2,,,,,Y,,we,1748920171202,3,1748920171202013,,1,S:8AM-8PM,12,FAIRFIELD,1408,,,,1,1,8,2,8,18JAN18:08:30,8,,,5,,0,,,,,,,1551.2991007,201712913weS:8AM-8PM,,0,1748920171202013,8,,,06611,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171202,2017,4,9,1,9,1,4334,5,3,3,5,3.5,0.00,150,20,1,1,0,0,0,,,1748920171202014,4,6,2,,,,,Y,,we,1748920171202,3,1748920171202014,2,1,S:8AM-8PM,12,FAIRFIELD,1425,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1551.2991007,201712913weS:8AM-8PM,,0,1748920171202014,8,,,06606,03/03/2025
,,201712913weS:8AM-8PM,201769131748920171202,2017,4,9,1,9,1,4334,5,3,3,5,2,0.00,25,8,1,1,0,0,0,,,1748920171202015,4,6,2,,,,,Y,,we,1748920171202,3,1748920171202015,2,1,S:8AM-8PM,12,FAIRFIELD,1426,,,,1,1,8,2,8,18JAN18:08:30,8,,,5,,0,,,,,,,1551.2991007,201712913weS:8AM-8PM,,0,1748920171202015,8,,,06605,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171202,2017,4,9,1,9,1,4334,5,3,3,5,2,0.00,260,20,1,1,0,0,0,,,1748920171202019,4,6,2,,,,,Y,,we,1748920171202,3,1748920171202019,2,1,S:8AM-8PM,12,FAIRFIELD,1527,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1551.2991007,201712913weS:8AM-8PM,,0,1748920171202019,8,,,06605,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171203,2017,4,9,1,9,1,4334,5,3,3,5,2,0.00,260,20,1,1,0,0,0,,,1748920171203004,4,6,2,,,,,Y,,we,1748920171203,3,1748920171203004,2,1,S:8AM-8PM,12,FAIRFIELD,1431,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1518.6835154,201712913weS:8AM-8PM,,0,1748920171203004,8,,,06605,03/03/2025
,,201712913weS:8AM-8PM,201769131748920171203,2017,4,9,1,9,1,4334,5,3,3,5,2,0.00,25,10,1,1,0,0,0,,,1748920171203005,4,6,2,,,,,Y,,we,1748920171203,3,1748920171203005,2,1,S:8AM-8PM,12,FAIRFIELD,1435,,,,1,1,8,2,8,18JAN18:08:30,8,,,5,,0,,,,,,,1518.6835154,201712913weS:8AM-8PM,,0,1748920171203005,8,,,06605,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171203,2017,4,9,1,9,1,4334,5,3,3,5,3,0.00,259,19,1,1,0,0,0,,,1748920171203006,4,6,2,,,,,Y,,we,1748920171203,3,1748920171203006,2,1,S:8AM-8PM,12,FAIRFIELD,1444,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1518.6835154,201712913weS:8AM-8PM,,0,1748920171203006,8,,,06605,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171215,2017,4,9,9,9,1,4334,5,3,3,5,1,0.00,200,45,1,1,0,0,0,,,1748920171215001,4,6,2,,,,,Y,,we,1748920171215,3,1748920171215001,2,1,S:8AM-8PM,12,NEW HAVEN,1603,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1974.2757647,201712913weS:8AM-8PM,,0,1748920171215001,8,,,06418,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131748920171215,2017,4,9,1,9,1,4334,5,3,3,5,2,0.00,150,25,1,1,0,0,0,,,1748920171215002,4,6,2,,,,,Y,,we,1748920171215,3,1748920171215002,2,1,S:8AM-8PM,12,FAIRFIELD,1626,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1974.2757647,201712913weS:8AM-8PM,,0,1748920171215002,8,,,06840,03/03/2025
,,201712913wdS:8AM-8PM,201769131748920171220,2017,4,9,1,9,1,4334,5,3,3,5,1,0.00,10,2,1,0,0,0,0,,,1748920171220001,4,6,2,,,,,Y,,wd,1748920171220,3,1748920171220001,,1,S:8AM-8PM,12,FAIRFIELD,1226,,,,1,1,8,2,8,18JAN18:08:30,8,,,5,,0,,,,,,,963.06319587,201712913wdS:8AM-8PM,,0,1748920171220001,8,,,06652,03/03/2025
TAUTOG,STRIPED BASS,201711913wdS:8AM-8PM,201769131764520171102,2017,4,9,9,9,11,885,1,3,C,5,2,0.00,30,1,1,1,0,0,0,,,1764520171102001,4,6,2,,,,,Y,,wd,1764520171102,1,1764520171102001,2,1,S:8AM-8PM,11,NEW HAVEN,1142,167680,170479,,1,1,8,1,8,18JAN18:08:30,8,8835020102,8839010101,1,,0,,,,,,,5643.3170693,201711913wdS:8AM-8PM,,0,1764520171102001,8,,,06705,03/03/2025
STRIPED BASS,BLUEFISH,201711913weS:8AM-8PM,201769131764520171103,2017,4,9,9,9,7,444,1,3,C,5,5,,30,15,1,0,0,0,0,,,1764520171103001,4,6,2,,,,,Y,,we,1764520171103,1,1764520171103001,,1,S:8AM-8PM,11,NEW HAVEN,1227,168559,167680,,1,1,8,1,8,18JAN18:08:30,8,8835250101,8835020102,1,,0,,,,,,,4238.4701528,201711913weS:8AM-8PM,,0,1764520171103001,8,,,06450,03/03/2025
BLUEFISH,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171104,2017,4,9,11,9,11,679,5,3,C,5,1,0.00,50,10,1,0,0,0,0,,,1764520171104001,4,6,2,,,,,Y,,we,1764520171104,3,1764520171104001,,1,S:8AM-8PM,11,NEW LONDON,1130,167680,168559,,1,1,8,1,8,18JAN18:08:30,8,8835020102,8835250101,5,,0,,,,,,,16707.806452,201711913weS:8AM-8PM,,0,1764520171104001,8,,,06340,03/03/2025
