PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,NEW_LIST,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,SEX,AGE,REEF,DATE1,DIST,PRIM1,PRIM2,MODE2001,TURTLE,REEFCODE,AREA_NC,ART_REEF,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,TAUTOG,201904913weS:8AM-8PM,201929131166320190406,2019,4,9,9,9,9,251,1,3,C,5,2,,2,1,1,0,0,0,0,,,1166320190406001,4,2,2,,,,,Y,we,,1166320190406,1,1166320190406001,,1,S:8AM-8PM,04,,,NEW HAVEN,1313,170479,,,1,,8,1,8,1,67,,17MAY19:12:33,8,8839010101,,0,,,,2,,,263.44224748,201904913weS:8AM-8PM,,0,1166320190406001,06516,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131166320190406,2019,4,9,9,9,9,251,1,3,C,5,1,0.00,2,1,1,0,2,0,0,,,1166320190406002,4,2,1,,,,,Y,we,,1166320190406,1,1166320190406002,2,1,S:8AM-8PM,04,2,0,NEW HAVEN,1353,167680,,,1,,8,2,1,1,41,,17MAY19:12:33,8,8835020102,,0,,,,2,,,263.44224748,201904913weS:8AM-8PM,,0,1166320190406002,06495,03/03/2025
,TAUTOG,201904913weS:8AM-8PM,201929131166320190406,2019,4,9,9,9,9,251,1,3,C,5,3.5,,2,2,1,0,0,0,0,,,1166320190406003,4,2,2,,,,,Y,we,,1166320190406,1,1166320190406003,,1,S:8AM-8PM,04,,,NEW HAVEN,1414,170479,,,1,,8,1,8,1,55,,17MAY19:12:33,8,8839010101,,0,,,,2,,,313.58442765,201904913weS:8AM-8PM,,0,1166320190406003,06492,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131166320190406,2019,4,9,3,9,9,251,1,3,C,5,0.5,,1,1,1,0,0,0,0,,,1166320190406004,4,2,2,,,,,Y,we,,1166320190406,1,1166320190406004,,1,S:8AM-8PM,04,,,HARTFORD,1501,167680,,,1,,8,2,8,1,47,,17MAY19:12:33,8,8835020102,,0,,,,2,,,313.58442765,201904913weS:8AM-8PM,,0,1166320190406004,06033,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131166320190407,2019,4,9,1,9,1,4334,5,3,3,5,5,0.00,15,1,1,0,0,0,0,,,1166320190407003,4,2,2,,,,,Y,we,,1166320190407,3,1166320190407003,,1,S:8AM-8PM,04,,,FAIRFIELD,1727,167680,,,1,,8,2,8,1,23,,17MAY19:12:33,8,8835020102,,5,,,,2,,,10631.315869,201904913weS:8AM-8PM,,0,1166320190407003,06828,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131166320190407,2019,4,9,1,9,1,4334,5,3,3,5,6.5,0.00,15,2,1,0,0,0,0,,,1166320190407004,4,2,2,,,,,Y,we,,1166320190407,3,1166320190407004,,1,S:8AM-8PM,04,,,FAIRFIELD,1737,167680,,,1,,8,1,8,1,47,,17MAY19:12:33,8,8835020102,,5,,,,2,,,10631.315869,201904913weS:8AM-8PM,,0,1166320190407004,06824,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131166320190407,2019,4,25,13,9,1,4334,5,3,3,5,8.5,0.00,40,5,1,0,0,0,0,,,1166320190407007,4,2,2,,,,,O,we,,1166320190407,3,1166320190407007,,1,S:8AM-8PM,04,,,,1803,167680,,,1,,8,2,8,1,54,,17MAY19:12:33,8,8835020102,,5,,,,2,,,10631.315869,201904913weS:8AM-8PM,,0,1166320190407007,01021,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190301,2019,4,9,9,9,1,4334,5,3,3,5,2,0.00,25,0,1,0,0,0,0,,,1764520190301007,4,2,2,,,,,Y,we,,1764520190301,3,1764520190301007,,1,S:8AM-8PM,03,,,NEW HAVEN,1458,167680,,,1,,8,2,8,1,78,,17MAY19:12:33,8,8835020102,,5,,,,2,,,343.42347873,201903913weS:8AM-8PM,,0,1764520190301007,06478,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190301,2019,5,36,998,9,1,4334,5,3,3,5,3,0.00,6,4,1,0,0,0,0,,,1764520190301008,4,2,2,,,,,O,we,,1764520190301,3,1764520190301008,,1,S:8AM-8PM,03,,,,1524,167680,,,1,,8,2,8,1,40,,17MAY19:12:33,8,8835020102,,5,,,,2,,,343.42347873,201903913weS:8AM-8PM,,0,1764520190301008,10019,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190301,2019,5,36,998,9,1,4334,5,3,3,5,3,0.00,6,4,1,0,0,0,0,,,1764520190301009,4,2,2,,,,,O,we,,1764520190301,3,1764520190301009,,1,S:8AM-8PM,03,,,,1525,167680,,,1,,8,2,8,1,35,,17MAY19:12:33,8,8835020102,,5,,,,2,,,343.42347873,201903913weS:8AM-8PM,,0,1764520190301009,11741,03/03/2025
