PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,ASG_CODE,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,SEX,AGE,REEF,DATE1,DIST,PRIM1,PRIM2,MODE2001,TURTLE,REEFCODE,AREA_NC,ART_REEF,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,1,,364,60,1,0,0,0,0,,,1543720210106001,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106001,,5,S:8AM-8PM,33709,01,,,,900,,,1,1,,8,1,8,1,38,2,22FEB202108:52,1,,,,,,,,,,9315.4866785,2021011253wdS:8AM-8PM,,0,1543720210106001,03/03/2025
SUMMER FLOUNDER,SPANISH MACKEREL,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,2,0.00,200,40,1,1,0,0,0,,,1543720210106002,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106002,2,5,S:8AM-8PM,33458,01,,,,923,172436,172735,1,1,,8,2,8,1,999,2,22FEB202108:52,1,8850030502,8857030301,,,,,,,,9315.4866785,2021011253wdS:8AM-8PM,,0,1543720210106002,03/03/2025
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,27,998,12,99,1448,1,3,1,1,2,,0,0,1,0,0,0,0,,,1543720210106003,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106003,,5,S:8AM-8PM,55349,01,,,,1046,,,1,1,,8,2,8,1,71,2,22FEB202108:52,1,,,,,,,,,,9315.4866785,2021011253wdS:8AM-8PM,,0,1543720210106003,03/03/2025
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,38,998,12,99,1448,1,3,1,1,2,,6,1,1,0,0,0,0,,,1543720210106004,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106004,,5,S:8AM-8PM,58801,01,,,,1047,,,1,1,,8,1,8,1,64,2,22FEB202108:52,1,,,,,,,,,,9315.4866785,2021011253wdS:8AM-8PM,,0,1543720210106004,03/03/2025
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,27,998,12,99,1448,1,3,1,1,2,,6,1,1,0,0,0,0,,,1543720210106005,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106005,,5,S:8AM-8PM,55321,01,,,,1048,,,1,1,,8,2,8,1,66,2,22FEB202108:52,1,,,,,,,,,,9315.4866785,2021011253wdS:8AM-8PM,,0,1543720210106005,03/03/2025
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,29,998,12,99,1448,1,3,1,1,1,,4,4,1,0,0,0,0,,,1543720210106006,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106006,,5,S:8AM-8PM,63108,01,,,,1146,,,1,1,,8,1,8,1,57,2,22FEB202108:52,1,,,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106006,03/03/2025
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,5,42,998,12,99,1448,1,3,1,1,3,,1,1,1,0,0,0,0,,,1543720210106007,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106007,,5,S:8AM-8PM,16046,01,,,,1206,,,1,1,,8,2,8,1,30,2,22FEB202108:52,1,,,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106007,03/03/2025
SAND DRUM,SNAPPER FAMILY,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,1.5,,15,0,1,0,0,0,0,,,1543720210106008,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106008,,5,S:8AM-8PM,32312,01,,,,1220,168845,169298,1,1,,8,1,8,1,72,2,22FEB202108:52,1,8835360000,8835441101,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106008,03/03/2025
SAND DRUM,SNAPPER FAMILY,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,1.5,,15,0,1,0,0,0,0,,,1543720210106009,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106009,,5,S:8AM-8PM,32312,01,,,,1241,168845,169298,1,1,,8,2,8,2,70,2,22FEB202108:52,1,8835360000,8835441101,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106009,03/03/2025
SAND DRUM,SNAPPER FAMILY,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,1.5,,10,2,1,0,0,0,0,,,1543720210106010,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106010,,5,S:8AM-8PM,32312,01,,,,1242,168845,169298,1,1,,8,2,8,1,62,2,22FEB202108:52,1,8835360000,8835441101,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106010,03/03/2025
SAND DRUM,SNAPPER FAMILY,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,1.5,,10,2,1,0,0,0,0,,,1543720210106011,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106011,,5,S:8AM-8PM,32312,01,,,,1243,168845,169298,1,1,,8,2,8,2,61,2,22FEB202108:52,1,8835360000,8835441101,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106011,03/03/2025
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,2,0.00,200,20,1,1,0,0,0,,,1543720210106012,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106012,2,5,S:8AM-8PM,33458,01,,,,1350,,,1,1,,8,1,8,1,32,2,22FEB202108:52,1,,,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106012,03/03/2025
,,2021011253wdS:8AM-8PM,2021112531543720210106,2021,0,12,998,12,99,1448,1,3,1,1,2,0.00,100,5,1,1,0,0,0,,,1543720210106013,6,1,2,,,,,O,wd,1543720210106,1,,1543720210106013,2,5,S:8AM-8PM,33458,01,,,,1351,,,1,1,,8,2,8,1,5,2,22FEB202108:52,1,,,,,,,,,,4725.2169052,2021011253wdS:8AM-8PM,,0,1543720210106013,03/03/2025
