PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,NEW_LIST,KOD,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,IMP_REC,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,DISTKEYS,REEF,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,STRIPED BASS,202104913weS:8AM-8PM,202129131166320210423,2021,0,18,1,9,1166320210423001,C,2.00,0.00,100,15,2,4,4386,5,3,2,1,,,0,0,0,0,5,,9,,,,O,,we,1166320210423,1,1166320210423001,,,1,S:8AM-8PM,06614,04,,,,1634,5,8,1,167680,,,1,33,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,18848.372094,202104913weS:8AM-8PM,,0,1166320210423001,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131166320210424,2021,4,25,15,9,1166320210424011,C,5.00,0.00,2,2,2,4,254,5,3,2,1,,,0,0,1,0,5,,9,,,,O,,we,1166320210424,3,1166320210424011,1,,1,S:8AM-8PM,01201,04,,,,1354,5,8,1,167680,,,1,54,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,312.64806054,202104913weS:8AM-8PM,,0,1166320210424011,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131166320210424,2021,4,9,9,9,1166320210424014,C,4.00,0.00,80,30,2,4,254,5,3,2,1,,,0,0,1,0,5,,9,,,,Y,,we,1166320210424,3,1166320210424014,1,,1,S:8AM-8PM,06517,04,,,NEW HAVEN,1654,5,8,1,167680,,,1,65,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,202.74038204,202104913weS:8AM-8PM,,0,1166320210424014,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131166320210424,2021,4,9,9,9,1166320210424015,C,4.00,0.00,80,30,2,4,254,5,3,2,1,,,0,0,1,0,5,,9,,,,Y,,we,1166320210424,3,1166320210424015,1,,1,S:8AM-8PM,06517,04,,,NEW HAVEN,1657,5,8,1,167680,,,1,16,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,202.74038204,202104913weS:8AM-8PM,,0,1166320210424015,03/03/2025
,SCUP,202103913weS:8AM-8PM,202129131764520210312,2021,4,9,1,9,1764520210312001,C,5.00,0.00,20,3,2,4,4467,5,3,2,1,,,0,0,0,0,5,,1,,,,Y,,we,1764520210312,1,1764520210312001,,,1,S:8AM-8PM,06606,03,,,FAIRFIELD,1347,5,8,1,169182,,,1,,2,1,8,8,11MAR22:10:09,8835430101,,,,,,,,,126.64515388,202103913weS:8AM-8PM,,0,1764520210312001,03/03/2025
,STRIPED BASS,202103913weS:8AM-8PM,202129131764520210320,2021,4,9,9,9,1764520210320001,C,2.00,0.00,0,0,2,4,235,5,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210320,1,1764520210320001,,,1,S:8AM-8PM,06704,03,,,NEW HAVEN,1331,5,8,1,167680,,,1,35,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,1388.4850302,202103913weS:8AM-8PM,,0,1764520210320001,03/03/2025
,STRIPED BASS,202103913weS:8AM-8PM,202129131764520210320,2021,4,9,9,9,1764520210320002,C,2.00,0.00,0,0,2,4,235,5,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210320,1,1764520210320002,,,1,S:8AM-8PM,06704,03,,,NEW HAVEN,1331,5,8,1,167680,,,1,25,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,1388.4850302,202103913weS:8AM-8PM,,0,1764520210320002,03/03/2025
,STRIPED BASS,202103913weS:8AM-8PM,202129131764520210320,2021,4,9,9,9,1764520210320003,C,2.00,0.00,0,0,2,4,235,5,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210320,1,1764520210320003,,,1,S:8AM-8PM,06704,03,,,NEW HAVEN,1331,5,8,1,167680,,,1,43,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,1388.4850302,202103913weS:8AM-8PM,,0,1764520210320003,03/03/2025
,WINTER FLOUNDER,202103913weS:8AM-8PM,202129131764520210326,2021,4,9,1,9,1764520210326001,C,1.50,0.00,100,0,2,4,92,5,3,2,1,,,0,0,0,0,5,,1,,,,Y,,we,1764520210326,1,1764520210326001,,,1,S:8AM-8PM,06610,03,,,FAIRFIELD,1448,5,8,1,172904,,,1,56,2,1,8,8,11MAR22:10:09,8857042001,,,,,,,,,1665.180343,202103913weS:8AM-8PM,,0,1764520210326001,03/03/2025
,WINTER FLOUNDER,202104913weS:8AM-8PM,202129131764520210403,2021,4,9,11,9,1764520210403001,C,7.00,0.00,20,1,2,4,679,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1764520210403,1,1764520210403001,,,1,S:8AM-8PM,06340,04,,,NEW LONDON,1702,5,8,1,172904,,,1,51,2,1,8,8,11MAR22:10:09,8857042001,,,,,,,,,18848.372094,202104913weS:8AM-8PM,,0,1764520210403001,03/03/2025
