PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,NEW_LIST,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,IMP_REC,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,DISTKEYS,REEF,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,LITTLE TUNNY,202111913weS:8AM-8PM,202169131764520211107,2021,4,9,7,9,1764520211107001,C,4.00,0.00,25,5,6,4,646,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1764520211107,1,1764520211107001,,,1,S:8AM-8PM,06437,11,,,MIDDLESEX,1136,5,8,1,172402,,,1,70,2,1,8,8,18JAN22:10:44,8850030102,,,,,,,,,30649.433127,202111913weS:8AM-8PM,,0,1764520211107001,03/03/2025
,LITTLE TUNNY,202111913weS:8AM-8PM,202169131764520211107,2021,4,9,9,9,1764520211107002,C,4.00,0.00,100,30,6,4,646,5,3,2,1,,,0,0,0,0,5,,11,,,1,Y,we,,1764520211107,1,1764520211107002,,,1,S:8AM-8PM,06498,11,,,NEW HAVEN,1136,5,8,1,172402,,,1,55,2,2,8,8,18JAN22:10:44,8850030102,,,,,,,,,30649.433127,202111913weS:8AM-8PM,,0,1764520211107002,03/03/2025
STRIPED BASS,TAUTOG,202111913wdS:8AM-8PM,202169131764520211115,2021,4,9,9,9,1764520211115001,C,3.00,,100,12,6,4,885,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,wd,,1764520211115,1,1764520211115001,,,1,S:8AM-8PM,06420,11,,,NEW HAVEN,1307,1,8,1,170479,167680,,1,61,2,1,8,8,18JAN22:10:44,8839010101,8835020102,,,,,,,,82083.518171,202111913wdS:8AM-8PM,,0,1764520211115001,03/03/2025
HERRING FAMILY,HICKORY SHAD,202112913weS:8AM-8PM,202169131764520211205,2021,4,9,1,9,1764520211205001,C,1.50,,40,10,6,4,130,1,3,2,1,,,0,0,0,0,5,,1,,,1,Y,we,,1764520211205,1,1764520211205001,,,1,S:8AM-8PM,06614,12,,,FAIRFIELD,1148,1,8,1,161704,161700,,1,78,2,1,8,8,18JAN22:10:44,8747010103,8747010000,,,,,,,,1025.9070966,202112913weS:8AM-8PM,,0,1764520211205001,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131764520211205,2021,4,9,1,9,1764520211205002,C,2.00,0.00,100,10,6,4,130,1,3,2,1,,,0,0,1,0,5,,1,,,1,Y,we,,1764520211205,1,1764520211205002,1,,1,S:8AM-8PM,06614,12,,,FAIRFIELD,1158,1,8,1,167680,,,1,76,2,1,8,8,18JAN22:10:44,8835020102,,,,,,,,,1025.9070966,202112913weS:8AM-8PM,,0,1764520211205002,03/03/2025
HERRING FAMILY,STRIPED BASS,202112913weS:8AM-8PM,202169131764520211205,2021,4,9,1,9,1764520211205003,C,1.00,,200,50,6,4,130,1,3,2,1,,,0,0,0,0,5,,1,,,2,Y,we,,1764520211205,1,1764520211205003,,,1,S:8AM-8PM,06615,12,,,FAIRFIELD,1213,1,8,1,167680,161700,,1,,2,2,8,8,18JAN22:10:44,8835020102,8747010000,,,,,,,,1025.9070966,202112913weS:8AM-8PM,,0,1764520211205003,03/03/2025
BLUEFISH,STRIPED BASS,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,11,9,1772120211121001,C,3.00,,2,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121001,,,1,S:8AM-8PM,06351,11,,,NEW LONDON,1112,0,8,1,167680,168559,,1,46,2,1,8,8,18JAN22:10:44,8835020102,8835250101,,,,,,,,693.56800068,202111913weS:8AM-8PM,,0,1772120211121001,03/03/2025
BLUEFISH,STRIPED BASS,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,15,9,1772120211121002,C,3.00,,2,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121002,,,1,S:8AM-8PM,06374,11,,,WINDHAM,1113,0,8,1,167680,168559,,1,31,2,2,8,8,18JAN22:10:44,8835020102,8835250101,,,,,,,,693.56800068,202111913weS:8AM-8PM,,0,1772120211121002,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,11,9,1772120211121003,C,3.00,,50,4,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121003,,,1,S:8AM-8PM,06340,11,,,NEW LONDON,1312,0,8,1,170479,,,1,43,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,693.56800068,202111913weS:8AM-8PM,,0,1772120211121003,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,11,9,1772120211121004,C,3.00,,50,4,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121004,,,1,S:8AM-8PM,06320,11,,,NEW LONDON,1312,0,8,1,170479,,,1,32,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,693.56800068,202111913weS:8AM-8PM,,0,1772120211121004,03/03/2025
