COMMON,STRAT_ID,PSU_ID,YEAR,ST,ID_CODE,WAVE,SUB_REG,MODE_FX,AREA_X,KOD,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,TOT_LEN_A,WGT_A,TOT_LEN_B1,WGT_B1,IMP_REC,REGION,MONTH,WP_INT,FL_REG,WP_CATCH,TOT_CAT,WGT_AB1,TOT_LEN,LANDING,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
,202311913wdS:8AM-8PM,202369131794720231107,2023,9,1794720231107001,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,1662.7338304,8,1662.7338304,0,0,0,0,202311913wdS:8AM-8PM,,0,03/03/2025
,202311913wdS:8AM-8PM,202369131794720231107,2023,9,1794720231107002,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,1828.8561569,8,1828.8561569,0,0,0,0,202311913wdS:8AM-8PM,,0,03/03/2025
STRIPED BASS,202311913wdS:8AM-8PM,202369131794720231107,2023,9,1794720231107005,6,4,3,5,wd,8835020102,0,1,0,0,0,1,0,0,0,0,,1,11,1828.8561569,8,1828.8561569,1,0,0,0,202311913wdS:8AM-8PM,,0,03/03/2025
,202312913weS:8AM-8PM,202369131794720231202,2023,9,1794720231202001,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,12,441.79442815,8,441.79442815,0,0,0,0,202312913weS:8AM-8PM,,0,03/03/2025
,202312913weS:8AM-8PM,202369131794720231202,2023,9,1794720231202002,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,12,441.79442815,8,441.79442815,0,0,0,0,202312913weS:8AM-8PM,,0,03/03/2025
,202311913wdS:8AM-8PM,202369131796320231108,2023,9,1796320231108001,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,12477.413291,8,12477.413291,0,0,0,0,202311913wdS:8AM-8PM,,0,03/03/2025
STRIPED BASS,202311913wdS:8AM-8PM,202369131796320231108,2023,9,1796320231108002,6,4,3,5,wd,8835020102,0,1,0,0,0,1,0,0,0,0,,1,11,12477.413291,8,12477.413291,1,0,0,0,202311913wdS:8AM-8PM,,0,03/03/2025
,202311913wdS:8AM-8PM,202369131796320231108,2023,9,1796320231108003,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,7380.1146143,8,7380.1146143,0,0,0,0,202311913wdS:8AM-8PM,,0,03/03/2025
SCUP,202311913weS:8AM-8PM,202369131796320231111,2023,9,1796320231111001,6,4,3,5,we,8835430101,0,1,0,0,0,1,0,0,0,0,,1,11,11381.710984,8,11381.710984,1,0,0,0,202311913weS:8AM-8PM,,0,03/03/2025
,202311913weS:8AM-8PM,202369131796320231112,2023,9,1796320231112001,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,6912.9607392,8,6912.9607392,0,0,0,0,202311913weS:8AM-8PM,,0,03/03/2025
