PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,ASG_CODE,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,SAND DRUM,2023021263weS:8AM-8PM,2023112631562720230203,2023,6,12,86,12,1562720230203001,1,4.00,0.00,3,0,1,6,341,5,3,1,1,,,0,0,1,2,1,,85,,,,Y,we,1562720230203,1,,1562720230203001,1,6,S:8AM-8PM,33138,02,19,0,MIAMI-DADE,1127,5,1,1,169298,,,1,66,-1,2,1,8,15AUG23:08:29,8835441101,,,,,,,3335.1110293,2023021263weS:8AM-8PM,,0,1562720230203001,03/03/2025
,SAND DRUM,2023021263weS:8AM-8PM,2023112631562720230203,2023,6,12,86,12,1562720230203002,1,4.00,0.00,3,0,1,6,341,5,3,1,1,,,0,0,1,1,1,,85,,,,Y,we,1562720230203,1,,1562720230203002,1,6,S:8AM-8PM,33138,02,12,0,MIAMI-DADE,1127,5,1,1,169298,,,2,65,-1,2,1,8,15AUG23:08:29,8835441101,,,,,,,3335.1110293,2023021263weS:8AM-8PM,,0,1562720230203002,03/03/2025
FLORIDA POMPANO,SAND DRUM,2023021263weS:8AM-8PM,2023112631562720230203,2023,6,12,99,12,1562720230203003,1,4.00,0.00,75,14,1,6,341,5,3,1,1,,,0,0,1,2,1,,85,,,,Y,we,1562720230203,1,,1562720230203003,1,6,S:8AM-8PM,33404,02,23,0,PALM BEACH,1341,5,1,1,169298,168708,,1,54,-1,2,1,8,15AUG23:08:29,8835441101,8835280901,,,,,,3335.1110293,2023021263weS:8AM-8PM,,0,1562720230203003,03/03/2025
,FLORIDA POMPANO,2023021263weS:8AM-8PM,2023112631562720230203,2023,6,12,11,12,1562720230203004,1,3.50,0.00,40,6,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,Y,we,1562720230203,1,,1562720230203004,,6,S:8AM-8PM,33029,02,,,BROWARD,1557,5,1,1,168708,,,1,37,-1,2,8,8,15AUG23:08:29,8835280901,,,,,,,3783.0423249,2023021263weS:8AM-8PM,,0,1562720230203004,03/03/2025
,FLORIDA POMPANO,2023021263weS:8AM-8PM,2023112631562720230203,2023,6,12,85,12,1562720230203005,1,1.50,0.00,100,10,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,Y,we,1562720230203,1,,1562720230203005,,6,S:8AM-8PM,34997,02,,,MARTIN,1620,5,1,1,168708,,,1,64,-1,1,8,8,15AUG23:08:29,8835280901,,,,,,,3783.0423249,2023021263weS:8AM-8PM,,0,1562720230203005,03/03/2025
,FLORIDA POMPANO,2023011263weS:8AM-8PM,2023112631563620230101,2023,6,12,111,12,1563620230101001,1,3.00,0.00,50,8,1,6,3601,5,3,2,1,,,0,0,2,0,1,,111,,,,Y,we,1563620230101,1,,1563620230101001,1,6,S:8AM-8PM,34957,01,,,ST LUCIE,1110,5,1,1,168708,,,1,68,-1,1,8,8,15AUG23:08:29,8835280901,,,,,,,30626.459692,2023011263weS:8AM-8PM,,0,1563620230101001,03/03/2025
ATLANTIC CROAKER,SPANISH MACKEREL,2023011263weS:8AM-8PM,2023112631563620230101,2023,6,12,85,12,1563620230101002,1,2.00,0.00,30,5,1,6,3601,5,3,2,1,,,0,0,0,0,1,,111,,,,Y,we,1563620230101,1,,1563620230101002,,6,S:8AM-8PM,34990,01,,,MARTIN,1123,5,1,1,172436,169283,,1,37,-1,2,8,8,15AUG23:08:29,8850030502,8835440702,,,,,,30626.459692,2023011263weS:8AM-8PM,,0,1563620230101002,03/03/2025
SPANISH MACKEREL,FLORIDA POMPANO,2023011263weS:8AM-8PM,2023112631563620230101,2023,6,12,111,12,1563620230101003,1,2.50,0.00,100,10,1,6,3599,5,3,1,1,,,0,0,1,1,1,,111,,,,Y,we,1563620230101,1,,1563620230101003,1,6,S:8AM-8PM,34953,01,2,0,ST LUCIE,1431,5,1,1,168708,172436,,1,58,-1,2,1,8,15AUG23:08:29,8835280901,8850030502,,,,,,30220.939555,2023011263weS:8AM-8PM,,0,1563620230101003,03/03/2025
SPANISH MACKEREL,FLORIDA POMPANO,2023011263weS:8AM-8PM,2023112631563620230101,2023,6,12,111,12,1563620230101004,1,2.50,0.00,50,5,1,6,3599,5,3,2,1,,,0,0,1,0,1,,111,,,,Y,we,1563620230101,1,,1563620230101004,1,6,S:8AM-8PM,34953,01,,,ST LUCIE,1432,5,1,1,168708,172436,,1,17,-1,2,8,8,15AUG23:08:29,8835280901,8850030502,,,,,,30220.939555,2023011263weS:8AM-8PM,,0,1563620230101004,03/03/2025
,,2023011263weS:8AM-8PM,2023112631563620230101,2023,5,34,29,12,1563620230101005,1,1.00,0.00,6,6,1,6,3599,5,3,2,1,,,0,0,0,0,1,,111,,,,O,we,1563620230101,1,,1563620230101005,,6,S:8AM-8PM,08701,01,,,OCEAN,1647,5,1,1,,,,1,58,-1,1,8,8,15AUG23:08:29,,,,,,,,30220.939555,2023011263weS:8AM-8PM,,0,1563620230101005,03/03/2025
PERMIT,FLORIDA POMPANO,2023021253wdS:8AM-8PM,2023112531586420230216,2023,6,12,11,12,1586420230216001,1,5.00,,104,24,1,6,170,2,3,2,1,,,0,0,0,0,1,,86,,,,Y,wd,1586420230216,1,,1586420230216001,,5,S:8AM-8PM,33009,02,,,BROWARD,1412,2,1,1,168708,168709,,1,49,-1,1,8,8,15AUG23:08:29,8835280901,8835280902,,,,,,5707.9169945,2023021253wdS:8AM-8PM,,0,1586420230216001,03/03/2025
,ATLANTIC TARPON,2023021253wdS:8AM-8PM,2023112531586420230216,2023,6,12,86,12,1586420230216002,1,0.50,,20,3,1,6,170,2,3,2,1,,,0,0,0,0,1,,86,,,,Y,wd,1586420230216,1,,1586420230216002,,5,S:8AM-8PM,33016,02,,,MIAMI-DADE,1443,2,1,1,161116,,,1,34,-1,1,8,8,15AUG23:08:29,8738020201,,,,,,,5707.9169945,2023021253wdS:8AM-8PM,,0,1586420230216002,03/03/2025
,FLORIDA POMPANO,2023021253wdS:8AM-8PM,2023112531586420230216,2023,6,12,86,12,1586420230216003,1,11.00,0.00,200,32,1,6,170,2,3,1,1,,,0,0,1,2,1,,86,,,,Y,wd,1586420230216,1,,1586420230216003,1,5,S:8AM-8PM,33054,02,2,0,MIAMI-DADE,1606,2,1,1,168708,,,1,53,-1,2,1,8,15AUG23:08:29,8835280901,,,,,,,5707.9169945,2023021253wdS:8AM-8PM,,0,1586420230216003,03/03/2025
,,2023021253wdS:8AM-8PM,2023112531586420230216,2023,6,12,86,12,1586420230216004,1,2.50,0.00,7,0,1,6,170,2,3,1,1,,,0,0,1,1,1,,86,,,,Y,wd,1586420230216,1,,1586420230216004,1,5,S:8AM-8PM,33161,02,1,0,MIAMI-DADE,1652,2,1,1,,,,1,63,-1,2,1,8,15AUG23:08:29,,,,,,,,5707.9169945,2023021253wdS:8AM-8PM,,0,1586420230216004,03/03/2025
,DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,99,12,1587120230121001,1,3.00,0.00,10,0,1,6,341,5,3,2,1,,,0,0,2,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121001,1,6,S:8AM-8PM,33404,01,,,PALM BEACH,1110,5,1,1,169237,,,1,55,-1,1,8,8,15AUG23:08:29,8835440000,,,,,,,2965.5602254,2023011263weS:8AM-8PM,,0,1587120230121001,03/03/2025
,FLORIDA POMPANO,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,85,12,1587120230121004,1,3.00,0.00,50,6,1,6,341,5,3,2,1,,,0,0,2,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121004,1,6,S:8AM-8PM,33455,01,,,MARTIN,1219,5,1,1,168708,,,1,30,-1,1,8,8,15AUG23:08:29,8835280901,,,,,,,2965.5602254,2023011263weS:8AM-8PM,,0,1587120230121004,03/03/2025
,DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,85,12,1587120230121005,1,2.00,0.00,3,1,1,6,341,5,3,1,1,,,0,0,1,3,1,,85,,,,Y,we,1587120230121,1,,1587120230121005,1,6,S:8AM-8PM,33455,01,3,0,MARTIN,1250,5,1,1,169237,,,1,55,-1,2,1,8,15AUG23:08:29,8835440000,,,,,,,2965.5602254,2023011263weS:8AM-8PM,,0,1587120230121005,03/03/2025
