COMMON,STRAT_ID,PSU_ID,YEAR,ST,ID_CODE,WAVE,SUB_REG,MODE_FX,AREA_X,KOD,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,TOT_LEN_A,WGT_A,TOT_LEN_B1,WGT_B1,REGION,MONTH,WP_INT,FL_REG,WP_CATCH,TOT_CAT,WGT_AB1,TOT_LEN,LANDING,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206001,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,7,02,20793.778364,8,20793.778364,0,0,0,0,2025021273wdS:8AM-8PM,,0,02/19/2026
,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206002,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,7,02,20793.778364,8,20793.778364,0,0,0,0,2025021273wdS:8AM-8PM,,0,02/19/2026
,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206003,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,7,02,20793.778364,8,20793.778364,0,0,0,0,2025021273wdS:8AM-8PM,,0,02/19/2026
KINGFISH GENUS,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206004,1,6,3,1,wd,8835440600,0,3,0,0,0,3,0,0,0,0,7,02,20793.778364,8,20793.778364,3,0,0,0,2025021273wdS:8AM-8PM,,0,02/19/2026
SOUTHERN KINGFISH,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206004,1,6,3,1,wd,8835440601,1,0,0,1,0,0,309,0.16,0,0,7,02,20793.778364,8,20793.778364,1,0.16,309,1,2025021273wdS:8AM-8PM,,0,02/19/2026
GULF KINGFISH,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206004,1,6,3,1,wd,8835440602,3,0,0,3,0,0,894,0.72,0,0,7,02,20793.778364,8,20793.778364,3,0.72,894,3,2025021273wdS:8AM-8PM,,0,02/19/2026
KINGFISH GENUS,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206005,1,6,3,1,wd,8835440600,0,6,0,0,0,6,0,0,0,0,7,02,20793.778364,8,20793.778364,6,0,0,0,2025021273wdS:8AM-8PM,,0,02/19/2026
GULF KINGFISH,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206005,1,6,3,1,wd,8835440602,4,0,0,4,0,0,1385,1.7,0,0,7,02,20793.778364,8,20793.778364,4,1.7,1385,4,2025021273wdS:8AM-8PM,,0,02/19/2026
KINGFISH GENUS,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206006,1,6,3,1,wd,8835440600,0,5,0,0,0,5,0,0,0,0,7,02,20793.778364,8,20793.778364,5,0,0,0,2025021273wdS:8AM-8PM,,0,02/19/2026
GULF KINGFISH,2025021273wdS:8AM-8PM,2025112731515620250206,2025,12,1515620250206006,1,6,3,1,wd,8835440602,8,0,0,8,0,0,2362,1.96,0,0,7,02,20793.778364,8,20793.778364,8,1.96,2362,8,2025021273wdS:8AM-8PM,,0,02/19/2026
