year,wave,st,sub_reg,mode_fx,area_x,species,Trips,SE,PSE
2000,2,10,5,6,2,atlantic croaker,14.644029397999999,14.644029397999999,100
2000,2,24,5,3,5,atlantic croaker,12655.996738900001,12655.996738900001,100
2000,2,24,5,7,5,atlantic croaker,10109.556458,5770.2343370165945,57.1
2000,2,51,5,3,5,atlantic croaker,13662.938074500002,5073.572807152762,37.1
2000,2,51,5,7,5,atlantic croaker,24048.262384000005,24048.262384,100
2000,3,10,5,6,5,atlantic croaker,19.7102892462,19.710289246200002,100
2000,3,24,5,3,5,atlantic croaker,111971.37079090004,34299.71028804424,30.6
2000,3,24,5,6,5,atlantic croaker,4407.8218492,2204.7137408909175,50
2000,3,24,5,7,5,atlantic croaker,86082.85855399998,17919.187479008604,20.8
2000,3,51,5,3,1,atlantic croaker,8756.7429068,8756.742906800004,100
2000,3,51,5,3,5,atlantic croaker,64091.723247700014,24008.94344769346,37.5
2000,3,51,5,6,5,atlantic croaker,3082.763700994,1120.3152459667892,36.3
2000,3,51,5,7,5,atlantic croaker,137341.50454817998,27970.40172994375,20.4
2000,4,10,5,3,5,atlantic croaker,13607.999132499997,5139.982031218913,37.8
2000,4,10,5,6,5,atlantic croaker,319.06239158999995,319.06239158999995,100
2000,4,24,5,3,5,atlantic croaker,46354.26075660001,25856.625865996215,55.8
2000,4,24,5,6,1,atlantic croaker,180.649213472,180.649213472,100
2000,4,24,5,7,5,atlantic croaker,28568.303137200004,8441.097636335708,29.5
2000,4,34,5,6,1,atlantic croaker,43.594656594,43.594656594,100
2000,4,34,5,7,2,atlantic croaker,4822.7287453,4822.728745300001,100
2000,4,34,5,7,5,atlantic croaker,4715.503908299999,4715.503908299995,100
2000,4,51,5,3,1,atlantic croaker,19300.2582591,19300.258259099992,100
2000,4,51,5,3,5,atlantic croaker,72677.7097464,25606.61261445997,35.2
2000,4,51,5,6,5,atlantic croaker,11952.346742919999,4142.925341391503,34.7
2000,4,51,5,7,2,atlantic croaker,2228.8563593,2228.8563593,100
2000,4,51,5,7,5,atlantic croaker,91722.21509819999,27734.863994185896,30.2
2000,5,10,5,3,5,atlantic croaker,2482.8897709,1755.676079845838,70.7
2000,5,10,5,6,1,atlantic croaker,40.540391725,40.540391725000006,100
2000,5,10,5,6,2,atlantic croaker,1277.7920153100001,1033.6073652335574,80.9
2000,5,10,5,7,5,atlantic croaker,4993.10022138,2387.8722198071805,47.8
2000,5,24,5,6,2,atlantic croaker,745.92496264,490.72215429959255,65.8
2000,5,24,5,7,5,atlantic croaker,7739.50442832,3530.4364234430536,45.6
2000,5,51,5,3,1,atlantic croaker,7102.2011093,5038.456651399543,70.9
2000,5,51,5,3,5,atlantic croaker,5681.3417172,5681.3417172,100
2000,5,51,5,6,5,atlantic croaker,1761.069500618,801.9788815061148,45.5
2000,5,51,5,7,1,atlantic croaker,305.17028973,305.17028973000004,100
2000,5,51,5,7,5,atlantic croaker,32238.213857780007,12709.99762378223,39.4
2001,2,24,5,3,5,atlantic croaker,8817.8930636,8817.893063599999,100
2001,2,24,5,7,5,atlantic croaker,6516.274755800001,6516.274755799999,100
2001,2,51,5,3,1,atlantic croaker,6065.8939472,6065.893947200003,100
2001,2,51,5,3,5,atlantic croaker,24500.821920299997,12231.03873289269,49.9
2001,2,51,5,6,2,atlantic croaker,32.102710712,32.102710712,100
2001,2,51,5,7,2,atlantic croaker,1779.8502335000003,1779.8502334999998,100
2001,3,24,5,3,5,atlantic croaker,65611.1515472,22741.835130651958,34.7
2001,3,24,5,6,5,atlantic croaker,1527.1074928,1527.1074928,100
2001,3,24,5,7,5,atlantic croaker,50353.17321394001,19511.57300126704,38.7
2001,3,51,5,3,1,atlantic croaker,4815.6616536,4815.661653600001,100
2001,3,51,5,3,5,atlantic croaker,57737.5519275,25746.338269240823,44.6
2001,3,51,5,6,5,atlantic croaker,2338.2151818120005,1244.2483507732911,53.2
2001,3,51,5,7,1,atlantic croaker,2003.67407376,2003.6740737600007,100
2001,3,51,5,7,5,atlantic croaker,154971.18058164,37267.56770261115,24
2001,4,10,5,3,5,atlantic croaker,4578.5269493000005,2298.559101432923,50.2
2001,4,10,5,6,2,atlantic croaker,78.154057974,78.15405797399998,100
2001,4,10,5,6,5,atlantic croaker,177.508689321,103.10769443447221,58.1
2001,4,10,5,7,1,atlantic croaker,2967.1561511,1906.8264365420591,64.3
2001,4,10,5,7,5,atlantic croaker,2582.9437621100005,1170.9617012993924,45.3
2001,4,24,5,3,5,atlantic croaker,26186.3282599,11736.54132646354,44.8
